#五月天假唱鉴定#,Query time: 2023-12-17 22:49:01
协这么场演唱会，专业歌手真不应该这样，是不是这几年缺钱了。那可以参加一些节目调整一下也行。为什么要这样子？？ ,12月02日 23:59
让子弹飞会,12月02日 23:59
？？？演唱会还能假唱,12月02日 23:59
？？？？？真的？ ,12月02日 23:59
五月天对口型？？半开麦算假唱吗？？垫音……,12月02日 23:59
吃瓜 ,12月02日 23:59
不会吧 上海那场我当初还抢来着 没抢到都伤心了半天 ,12月02日 23:59
让开让开都别抢票 明年让我进去听步步,12月02日 23:59
查！！！ 给我查！！！明年我一定再去狠狠鉴定一下开个玩笑 哥们儿之前是感觉有垫音 毕竟年纪大了而且场次这么频繁 很多时候嗓子能听出来有嘶哑的感觉胡萝卜🥕好好注意身体哈  说好陪我们唱到100岁的 别食言怪兽 冠佑 石头 玛莎也要健康快乐每一天我的五个好朋友 祝好 ,12月02日 23:59
？不可能吧！鉴定真的假的啊 ,12月02日 23:59
？这个rs这么奇怪？这么离谱的吗？五月天的实力还需要质疑？ ,12月02日 23:59
观望一下 ,12月02日 23:59
从别人传的视频来鉴定假唱与否，不严谨。传的视频动过手脚没？做所谓鉴定的人能确定吗,12月02日 23:59
我愿意花钱去感受他们演唱会的气氛！麻烦下个巡演大家都不要去！留给我去！谢谢大家,12月02日 23:59
啊啊啊啊啊不相信,12月02日 23:59
唱不了还一连开8场，韭菜割的明明白白 ,12月02日 23:59
这是真的吗,12月02日 23:59
真的假的？？？五月天还用假唱吗？？？ ,12月02日 23:59
闲出屁了 ,12月02日 23:59
在演唱会上假唱不是wf的吗，但我真的很喜欢他们的歌哎，不会吧,12月02日 23:59
不尊重歌迷啊。盈利性质的演出也不允许假唱啊！就别洗地说气氛好了 ,12月02日 23:59
咋给我的感觉唱歌的一些人好容易塌,12月02日 23:59
那明年把票给我吧 ,12月02日 23:59
观望。这可是五月天耶！ ,12月02日 23:59
我笑了 演唱会假唱犯法的！法制咖的粉丝们,12月02日 23:59
感觉这个无所谓，有愿意去花钱听的不在乎是不是假唱，而是花钱感受氛围，想纯听歌的直接在家接耳机接音响氛围不比现场好?这个无所谓的。 ,12月02日 23:59
