#除夕不放假#,Query time: 2023-12-17 23:12:54
,10月25日 23:59
滚 ,10月25日 23:59
本来过年就没以前热闹好玩了，感觉好赶，你还来这一出 ,10月25日 23:59
hh,10月25日 23:59
神经病吗？你就真缺这么一天？除夕不放假你有病我有病？ ,10月25日 23:59
想起来早年还有综艺叫五一七天乐，好陌生的感觉，现在哪来的七天//:,10月25日 23:59
除夕还不放假，你有什么目的我不理解的，别给自己找理由说是为了我们好够了...,10月25日 23:59
挺牛的,10月25日 23:59
,10月25日 23:59
6 ,10月25日 23:59
nt ,10月25日 23:58
除夕不放假太过分氛围都没有了 ,10月25日 23:58
生气，除夕多放一天怎么了，地球毁灭呀还是怎么了，一年能放几天假，你干脆啥节都别放了，要啥传统文化了，装啥逼了，一年365天天天上班就行了，看放上一天假地球灭亡的 ,10月25日 23:58
大年三十不放假.... ,10月25日 23:58
什么是春节？不懂唉！ ,10月25日 23:58
不想说话 ,10月25日 23:58
凑活着过得了 细想会紫砂,10月25日 23:58
我觉得不是魔幻，是发生这种事竟然不采集民意或者说民意根本不重要，调休这么久了没有骂的？假期少不是事实？转发的那说的是个什么东西 ,10月25日 23:58
“一年到头”现在“年”也没了，还有什么盼头 ,10月25日 23:57
本来还在找工作的，看到这个消息突然不想找了学生时代也是调休，除了幼儿园，人的一生有什么快乐的时间吗？ ,10月25日 23:57
有什么大病才能想出这玩意,10月25日 23:57
我们只是shitizen ,10月25日 23:57
叶文洁还没按下去吗 要不报个定位我来帮帮你呢 ,10月25日 23:57
专门从抖音跑到微博来骂，结果连个热搜都没有…… ,10月25日 23:57
打破历史！时代的车轮！伟大的发明！中华上下五千年第一次不过三十 ,10月25日 23:57
调都调了，就不能调个除夕？！,10月25日 23:57
这个强行解释的亮点真是有够厚脸皮。天天吹牛大国啥的，差的远了 ,10月25日 23:57
说年轻人不尊重传统节日的是你，除夕不放假的还是你；说年轻人不爱走亲戚的人是你，不给年轻人假期去走亲戚的还是你；让保护传统文化的是你，传统节日不放假的还是你😅😅难崩😅😅 ,10月25日 23:57
滚。。 ,10月25日 23:57
人性化在哪里？ ,10月25日 23:56
滚，老子杀杀杀杀杀杀杀杀杀杀杀 ,10月25日 23:56
节日被偷以后一句话也不多说,10月25日 23:56
【放假通知！注意啦！】 2024年假期日历来啦！这份日历有没有让你满意呢？一键转发博文吧！（via.中国政府网）,10月25日 23:56
高层是什么酒囊饭袋，脑子有问题。 ,10月25日 23:56
好魔幻,10月25日 23:55
嘿嘿好呀，高中生直接在学校过年好了我真的绷不住了，调休调休，tm缺那几天吗？？？今年国庆因为调休我们整整上了13天课,10月25日 23:55
好耶大家在公司边加班边看春晚😅实现地球村目标了😅😅😅 ,10月25日 23:55
也没必要装一下还觉得自己很正确，怎么，是没有回家的需求吗 ,10月25日 23:55
’质疑叶文洁……‘,10月25日 23:55
压个pi热搜 还不让人说了,10月25日 23:55
没事我会不结婚不生孩子 ,10月25日 23:54
其实在我眼里除夕比大年初一更有过节的氛围——为四年后担忧的大一牲 ,10月25日 23:54
,10月25日 23:54
除夕不放假是因为没有家人吗？ ,10月25日 23:54
那我又该能怎么办呢，发改委发改委你是真滴心狠呀，你让我没有爱啊,10月25日 23:54
什么？什么？你要这么搞 ,10月25日 23:54
,10月25日 23:53
你说！你说！你说你是不是怕春晚挨骂，所以干脆让大家都不用看了！！！提前挨骂就能安心过节了是吧！！！ ,10月25日 23:53
之前說的外星人 什麼時候來呀 ,10月25日 23:53
除夕是啥 我只过圣诞节,10月25日 23:53
脑瘫吧，我塞林木 ,10月25日 23:53
看透了，私企不可能遵守的，国庆的8天假期我公司能吃了我3天，真的不把人当人，越来越感觉自己活着只是一只牛罢了，平日吃草挤血，放假也只是上层对我的施舍，这样的人生过得也没啥意义。,10月25日 23:53
谢谢您,10月25日 23:53
给我滚 ,10月25日 23:53
你知道我去年年三十下午五点赶车的心情吗,10月25日 23:53
我不懂，这算不算见证历史（如果说错了，我没文化都是我乱说的）多年之后，当我们回忆起2024年的春节，除夕竟然不放假，或许可能以后春节不放假，毕业前还能碰到这事，是幸运还是不幸，我到时候工作了，直接不回家，真好，怕我们过年应付亲戚，这何尝不是合理的呢,10月25日 23:53
“人民当家作主”🤗太讽刺了 ,10月25日 23:53
是不是就是一堆人回家路上 堵在高速上 听着新年的倒计时 就跟车里的家人 车外的陌生人 一起跨完年了 ,10月25日 23:53
是🇨🇳人吗 好美的🇨🇳话,10月25日 23:53
除夕春节是谁的传统节日啊？ ,10月25日 23:53
好像跟我没关系，一年也放不了几天假 ,10月25日 23:53
设置节假日的目的根本不是过年，而是形成黄金周来刺激消费，归根结底是服务经济发展的，国庆假期就是很好的例子 ,10月25日 23:53
不放就不放吧，那我准备准备过圣诞节咯提前祝大家圣诞节快乐新年新气象新的一年万事如意哦,10月25日 23:52
政府里的很多干部，本身就脱离社会实践太久了。其实哪怕是国企，也有很多很多岗位，除夕当天也是要上班的，不是正假日，是不会放人走的。而年假不落实，本质是相关执法机构不作为，鼓励了企业违规。 ,10月25日 23:52
你们田耕纪弹幕真是紧跟实事,10月25日 23:52
,10月25日 23:52
真是服了装聋作哑你们最会了,10月25日 23:52
公益广告换成孩子在家接电话:喂？妈……妈妈:孩子今晚要加个班你先自己点个外卖别饿着了啊！孩子:好。。电话铃响…孩子:喂？爸爸！你还没到啊！外卖都快冷啦！爸爸:孩子你先吃着！爸爸半路上接到电话要临时回去加个班！（挂断）孩子:忙，都忙，忙点儿好！孩子在黑暗中对着已经断网了还在放广告 公益广告换成孩子在家接电话:喂？妈……妈妈:孩子今晚要加个班你先自己点个外卖别饿着了啊！孩子:好。。电话铃响…孩子:喂？爸爸！你还没到啊！外卖都快冷啦！爸爸:孩子你先吃着！爸爸半路上接到电话要临时回去加个班！（挂断）孩子:忙，都忙，忙点儿好！孩子在黑暗中对着已经断网了还在放广告的电视发呆。然后播音腔:别让等待，成为遗憾…,10月25日 23:52
制定的人没家吧咋寻思的，都不是没年味了直接没年了，这怪谁不了解传统节日，多放两天假跟不运转了似的 ,10月25日 23:52
调休一日不合理 年轻人一日不生孩子 耗呗 ,10月25日 23:52
我大为震惊……… ,10月25日 23:52
啥意思 过年就过八天啊 ,10月25日 23:52
好好好 老天爷 下辈子给头驴名分吧 ,10月25日 23:52
真甜啊 ,10月25日 23:52
我草饲你的🐴 ,10月25日 23:52
我请问我是公民啊，一天天的我们交税养着谁，我真的想润了 ,10月25日 23:52
暗恋同事的人有福了！！！除夕可以跟同事一起过！！！暗恋同事的人有福了！！！除夕可以跟同事一起过！！！暗恋同事的人有福了！！！除夕可以跟同事一起过！！！ ,10月25日 23:51
撒比领导,10月25日 23:51
照你们这么来建议删除春节 ,10月25日 23:51
新疆七点半下班也就是还没到家春晚已经开始了年夜饭几点吃嘞,10月25日 23:51
那还有春节联欢晚会吗 ,10月25日 23:50
提议并敲定下达的有关部门及负责人，祝你们过不了好年,10月25日 23:50
《为什么年轻人不注重传统节日》不放假？fineiwillfuckallofyou ,10月25日 23:50
我跟你讲，我管你放不放，老子还要提前一个月回去，真是看的我血压高 ,10月25日 23:50
真是不把老百姓当人看哪，就想着怎么套出老百姓的钱 ,10月25日 23:50
我要出国 ,10月25日 23:50
是哪个大聪明年假按农历算？ ,10月25日 23:50
真有你的,10月25日 23:50
数典忘祖，卖国求荣的政客，啊呸 ,10月25日 23:50
恢复夏历 ,10月25日 23:49
除夕不放假还过你吗的年 滚,10月25日 23:49
不关我的事，我公司大年24就开始放了不关我的事，还不知道能不能回国过年,10月25日 23:49
是因为春晚太难看了吗？春晚难看难为打工人做什么 ,10月25日 23:49
搞啥呀 ,10月25日 23:49
不是 今天全都毒奶了是吧？刚跟我妈说了哪有大年三十还不放假的？？？服了,10月25日 23:49
平时007我也就忍了，年夜饭谁也别想动我的,10月25日 23:49
可以猜到今年春晚小品：禁止办公室恋情的公司在《正常上班》的除夕之夜，有两个偷偷谈恋爱的年轻员工一边故作遮掩情谊打情骂俏，一边光明正大偷偷告别，准备一会儿下班赶高铁（高铁强调，可快啦～下班赶高铁还能回家看上春晚呢）回家过年。执手相看泪眼汪汪，互诉衷肠，却被突然回公司 可以猜到今年春晚小品：禁止办公室恋情的公司在《正常上班》的除夕之夜，有两个偷偷谈恋爱的年轻员工一边故作遮掩情谊打情骂俏，一边光明正大偷偷告别，准备一会儿下班赶高铁（高铁强调，可快啦～下班赶高铁还能回家看上春晚呢）回家过年。执手相看泪眼汪汪，互诉衷肠，却被突然回公司拿年货的老板撞破（老板大老远喊着过年好上台，嘴里一边拜年一边说着自己老婆非要让自己来拿忘了的一点年货，一边直接推门而入）。两个人顿时一惊，然后开始胡说八道上蹿下跳遮掩，最后一人一跺脚用壮士断腕的语气认了，另一人也紧接着认下，双方都积极表示愿意以自己离职的方式恳求老板可以把另一半留下来（这时候如果有添人需求，可以加个打扫阿姨助攻：哎呦，小伙子啊，年轻人找份工作不容易啊……）然后突然惊觉时间不对（一般是女生）自己错过了回家的高铁，老板：改签吧，吃完饺子再回家，公司也是咱的妈。老板十分感动想起了自己创业时和妻子相互扶持，多亏了好政策，最后说俩人肯定都留下，一起共建好公司好家庭好社会，最后打电话给妻子和孩子（至少俩）带来自家准备的饺子馅儿和员工一起在办公室包～饺～砸～（面粉是忘记带走的年货，此处可有广告位）然后嘱咐俩员工打视频电话给双方老人，最后老板员工欢欢喜喜过～大～年～好像还可以更复杂，但是时长可能不允许,10月25日 23:49
适合现在,10月25日 23:49
好好好，默默带上了我的墨镜（）除夕那可是除夕,10月25日 23:48
来世还做中国人。 ,10月25日 23:48
哈哈哈我觉得你们可以关注一下五一,10月25日 23:48
你可以滚了 ,10月25日 23:48
有时候真的很怀疑群众中有坏人,10月25日 23:48
….. ,10月25日 23:48
