#张雪峰回应文科都是服务业#,Query time: 2023-12-24 13:41:06,likes
张雪峰谈人为什么要往上努力：目标驱动与逃离驱动。,2023-12-08 20:03,134
学理科吧，跟我一样选个自个喜欢的东西，忙不完的整理……跑野外，拍花草，采标本，收种子……啊，东西越攒越多，我好富有呀！完全可以摆个展了，好几大箱子种子与果实，一大摞植物标本……不少老师跟我借过东西科学节摆展，被邀请去学校讲课光教具种子就拉了一大行李箱… 学理科吧，跟我一样选个自个喜欢的东西，忙不完的整理……跑野外，拍花草，采标本，收种子……啊，东西越攒越多，我好富有呀！完全可以摆个展了，好几大箱子种子与果实，一大摞植物标本……不少老师跟我借过东西科学节摆展，被邀请去学校讲课光教具种子就拉了一大行李箱……图1 北美香柏，上面大小孢子叶球都有哦！图2 野菊与甘菊对比的标本，放一块一目了然图3 黄花蒿与上面的虫瘿图4 各种形状与颜色的小叶子图5-6 蒺藜，刺儿菜图7-9 求米草，鸡爪槭，黄栌（带有毛茸茸的不育花的小花梗）,2023-12-09 02:26,20
成功那有一蹴而就，都是努力的结果。,2023-12-09 06:00,3
【：提倡新文科建设，让文科没那么“水”】近日，网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”，引发热议。中国人民大学公共管理学院教授马亮表示，文科没那么“水”，文理科融合教育也成主流。【：提倡新文科建设，让文科没那么“水”】近日，网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”，引发热议。中国人民大学公共管理学院教授马亮表示，文科没那么“水”，文理科融合教育也成主流。,2023-12-09 10:46,31923
张雪峰又道歉？所为何事？不过他是懂微博的精髓的，这组阴阳怪气的黄豆人表情用得是炉火纯青【更新：小伙伴提醒，他是说了刺激到了部分群体的敏感神经】,2023-12-09 11:55,10
【？】近日，网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”，不少网友纷纷表示破防，还有一些网友称自己是理科生，但也是服务业。,2023-12-09 11:55,9099
【你学的文科还是理科？】近日，网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”，引发热议。,2023-12-09 11:44,37369
很认可，文科本质都是销售，文科除了考公考编剩下的就是销售了吧。,2023-12-09 11:28,392
出来混，早晚要还，今天再加一天班,2023-12-09 11:05,6
胡说八道，那是学的差文科，好的文科，掌管天下【：没觉得这有什么所谓的不好】 ,2023-12-09 12:57,0
回复:给你这结尾这句来个大大的赞！//:都是一样的，我是文科，只要找到工作，认真工作，努力工作就行，不然又被李佳琦喷不认真工作,2023-12-09 12:44,2
【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我 【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！,2023-12-09 12:42,1
【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我 【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！,2023-12-09 12:42,0
【：服务业没什么不好，我也在舔】近日，网红考研名师张雪峰称，所有文科都叫服务业，总结起来就是“舔”，引发网友热议。12月9日，张雪峰发文回应：“我是不是又说错话，对不起，对不起，我给大家笑一个！你们觉得哪个笑好看，我以 【：服务业没什么不好，我也在舔】近日，网红考研名师张雪峰称，所有文科都叫服务业，总结起来就是“舔”，引发网友热议。12月9日，张雪峰发文回应：“我是不是又说错话，对不起，对不起，我给大家笑一个！你们觉得哪个笑好看，我以后就怎么笑。你看，我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！”。并在评论区表示“做服务业没有不好，可是有的人心里过不去这道坎，我能过去，我就做服务业，你过不去，你就不适合做服务业。我是提醒以为某些专业高大上的人，他的本质，尤其是从业初期阶段要了解后在选择。非要恶意解读的。看了我的言论伤心了的，我向您们道歉。”随后，张雪峰晒出一张穿着带有道歉字样衣服的照片称，“为了诚挚的表达歉意，今天穿这个衣服出门。”,2023-12-09 12:42,36
12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！【：提倡新文科建设，让文科没那么“水”】近日，网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”， 12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！【：提倡新文科建设，让文科没那么“水”】近日，网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”，引发热议。中国人民大学公共管理学院教授马亮表示，文科没那么“水”，文理科融合教育也成主流。（来源：澎湃新闻 编辑：艺萌）,2023-12-09 12:40,0
【小调查：？】：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一 【小调查：？】：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！,2023-12-09 12:27,0
【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我 【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！,2023-12-09 12:26,0
【小调查：？】：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一 【小调查：？】：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！,2023-12-09 12:26,0
