#张雪峰说考完研笔记别扔了#,Query time: 2023-12-24 18:26:05,likes,location,gender
【你的考研笔记还留着吗？】考研不是终点，人生的路很长。无论“上岸”与否，积累不会白费，在备考过程中掌握高效的学习方法，并认识到终身学习的重要性，才算是“不虚此行”。2023考研学子们分享的笔记，不仅是学习成果，更是思想财富，保持高效的记录方法，并且一直记下去 【你的考研笔记还留着吗？】考研不是终点，人生的路很长。无论“上岸”与否，积累不会白费，在备考过程中掌握高效的学习方法，并认识到终身学习的重要性，才算是“不虚此行”。2023考研学子们分享的笔记，不仅是学习成果，更是思想财富，保持高效的记录方法，并且一直记下去，会帮你在未来走得更远。,2022-12-30 23:43,0,云南 昆明,m
考研初试结束，另一场角逐才刚刚开始，就是复试调剂，赶紧看看你该做哪些准备？凡事预则立不预则废，你离成功还差一步，别急着过年狂欢，拿到通知书之后，天天都可以过年！ ,2022-12-30 23:39,6,北京,m
荣耀V8Pro太棒了//:确实应该好好保留，这都是我们奋斗的痕迹。我虽然没考，直接上的，没有考研笔记，但我做笔记也是非常工整的，字写得还凑合，不过现在用电子设备，应该更方便了，你习惯用笔还是用平板记笔记？,2022-12-30 23:29,0,海南,m
有可能我看完这个rs 等到考研结束后 我就会忘记 hhh ,2022-12-30 23:24,0,其他,f
//:确实应该好好保留，这都是我们奋斗的痕迹。我虽然没考，直接上的，没有考研笔记，但我做笔记也是非常工整的，字写得还凑合，不过现在用电子设备，应该更方便了，你习惯用笔还是用平板记笔记？,2022-12-30 23:15,0,其他,m
前天有人问我，什么是悟了？其实很简单，就是你对一切已经发生的事物，看破这个虚幻，并不纠结了。六祖坛经里面有一句经典的话“仁者心动”本意不是因为心动，风幡才会动。而是说，风吹幡动是一种确实存在的自然现象，但是这种现象本来并没有“动”的概念。人类 前天有人问我，什么是悟了？其实很简单，就是你对一切已经发生的事物，看破这个虚幻，并不纠结了。六祖坛经里面有一句经典的话“仁者心动”本意不是因为心动，风幡才会动。而是说，风吹幡动是一种确实存在的自然现象，但是这种现象本来并没有“动”的概念。人类把风吹幡定义概念为动，人类赋予了这些事物各种概念。比如四爷我吃不惯榴莲，但是有人喜欢这个味道。不同人赋予了榴莲不同的好坏，香臭的评价。榴莲本身的味道是固定的，一百个评价的人，就会有一百种不同的评价。风幡本来并没有动静之分，“动静”是人的定义和分别相。所以风动还是帆动，本身没有意义。任何事的发生，对事情不关心的人，就没有意义。对在意的人，才会有意义。比如这次世界杯，我伤官一点也不懂足球，所以谁赢对我好像没啥区别。所以你越是在意什么，什么就能影响你。别管别人多能闹腾，你只要不在意，他就影响不了你。大多数人什么都在意，什么都放不下，尤其在乎别人的评价和目光，然后就被人牵着鼻子走了,2022-12-30 23:07,390,海外,m
送人了，留了一部分给自己。 ,2022-12-30 23:04,0,江苏 南通,f
【你的考研笔记还留着吗？】考研不是终点，人生的路很长。无论“上岸”与否，积累不会白费，在备考过程中掌握高效的学习方法，并认识到终身学习的重要性，才算是“不虚此行”。2023考研学子们分享的笔记，不仅是学习成果，更是思想财富，保持高效的记录方法，并且一直记下去 【你的考研笔记还留着吗？】考研不是终点，人生的路很长。无论“上岸”与否，积累不会白费，在备考过程中掌握高效的学习方法，并认识到终身学习的重要性，才算是“不虚此行”。2023考研学子们分享的笔记，不仅是学习成果，更是思想财富，保持高效的记录方法，并且一直记下去，会帮你在未来走得更远。,2022-12-30 23:43,0,云南 昆明,m
考研初试结束，另一场角逐才刚刚开始，就是复试调剂，赶紧看看你该做哪些准备？凡事预则立不预则废，你离成功还差一步，别急着过年狂欢，拿到通知书之后，天天都可以过年！ ,2022-12-30 23:39,6,北京,m
荣耀V8Pro太棒了//:确实应该好好保留，这都是我们奋斗的痕迹。我虽然没考，直接上的，没有考研笔记，但我做笔记也是非常工整的，字写得还凑合，不过现在用电子设备，应该更方便了，你习惯用笔还是用平板记笔记？,2022-12-30 23:29,0,海南,m
