#心中的古装剧Top1#,Query time: 2023-12-21 20:13:26
tjc1️⃣站内角色热镀长相思男性角色Top1️⃣2️⃣史上首位特别主演v木旁连续13次破9️⃣3️⃣史上首位古装剧角色贡献度日均超过20％的特别主演4️⃣相柳角色耗全网书局指数Top1️⃣文字原创🈲一键复制搬运！檀健次很想很想你｜檀健次莫青成｜檀健次锖 tjc1️⃣站内角色热镀长相思男性角色Top1️⃣2️⃣史上首位特别主演v木旁连续13次破9️⃣3️⃣史上首位古装剧角色贡献度日均超过20％的特别主演4️⃣相柳角色耗全网书局指数Top1️⃣文字原创🈲一键复制搬运！檀健次很想很想你｜檀健次莫青成｜檀健次锖青磁｜檀健次,2023-12-05 22:30
//:檀健次年度号召力演员奖1️⃣站内角色热镀长相思男性角色Top1️⃣☞2️⃣史上首位特别主演v木旁连续13次破9️⃣☞3️⃣史上首位古装剧角色贡献度日均超过20％的特别主演☞4️⃣相柳角色耗全网书局指数Top1️⃣,2023-12-06 19:36
//:檀健次年度号召力演员奖1️⃣站内角色热镀长相思男性角色Top1️⃣☞2️⃣史上首位特别主演v木旁连续13次破9️⃣☞3️⃣史上首位古装剧角色贡献度日均超过20％的特别主演☞4️⃣相柳角色耗全网书局指数Top1️⃣,2023-12-06 18:12
2022-2023微博剧综行业报告古装剧集综合影响力榜单TOP10TOP1《长相思》杨紫、张晚意、檀健次、邓为TOP2《苍兰诀》虞书欣、王鹤棣TOP3《莲花楼》成毅、曾舜晞、肖顺尧TOP4《星汉灿烂·月升沧海》吴磊、赵露思TOP5《沉香如屑·沉香重华》杨紫、成毅TOP6《玉骨遥》肖战、任敏TOP7《 2022-2023微博剧综行业报告古装剧集综合影响力榜单TOP10TOP1《长相思》杨紫、张晚意、檀健次、邓为TOP2《苍兰诀》虞书欣、王鹤棣TOP3《莲花楼》成毅、曾舜晞、肖顺尧TOP4《星汉灿烂·月升沧海》吴磊、赵露思TOP5《沉香如屑·沉香重华》杨紫、成毅TOP6《玉骨遥》肖战、任敏TOP7《长月烬明》白鹿、罗云熙TOP8《云之羽》虞书欣、张凌赫TOP9《卿卿日常》白敬亭、田曦薇TOP10《安乐传》迪丽热巴、龚俊,2023-12-06 17:17
//://:檀健次年度号召力演员奖1️⃣站内角色热镀长相思男性角色Top1️⃣☞2️⃣史上首位特别主演v木旁连续13次破9️⃣☞3️⃣史上首位古装剧角色贡献度日均超过20％的特别主演☞4️⃣相柳角色耗全网书局指数Top1️⃣,2023-12-06 16:00
//:檀健次年度号召力演员奖1️⃣站内角色热镀长相思男性角色Top1️⃣☞2️⃣史上首位特别主演v木旁连续13次破9️⃣☞3️⃣史上首位古装剧角色贡献度日均超过20％的特别主演☞4️⃣相柳角色耗全网书局指数Top1️⃣,2023-12-06 15:59
郑导啊，古装权谋！这得多期待这部剧啊！今年最期待的电视剧top1！肖战演权谋剧古装剧！我天！真的是粉丝的梦想了,2023-12-06 15:46
//:檀健次年度号召力演员奖1️⃣站内角色热镀长相思男性角色Top1️⃣☞2️⃣史上首位特别主演v木旁连续13次破9️⃣☞3️⃣史上首位古装剧角色贡献度日均超过20％的特别主演☞4️⃣相柳角色耗全网书局指数Top1️⃣,2023-12-06 14:24
发布了头条文章：《《宁安如梦》：反转叙事、爱恨情浓》  爱奇艺站内预约量累计突破740w、空降开播、用6集时间突破爱奇艺热度值9500的关卡，如今成为各大热播剧集榜单TOP1，作为2023备受期待的之一在入冬时节强势登场。,2023-12-06 13:54
你认可这三部为微博剧综行业报告综合影响力古装TOP3吗？top1:杨紫 张晚意 邓为 檀健次《长相思第一季》top2:虞书欣 王鹤棣《苍兰诀》top3:成毅 曾舜晞《莲花楼》 杨紫的古装剧成绩依旧那么牛，看样子长相思第二部分也有保障了，不过没想到肖战的玉骨瑶吹得那么狠，竟然没比过杨紫成毅的沉香如 你认可这三部为微博剧综行业报告综合影响力古装TOP3吗？top1:杨紫 张晚意 邓为 檀健次《长相思第一季》top2:虞书欣 王鹤棣《苍兰诀》top3:成毅 曾舜晞《莲花楼》 杨紫的古装剧成绩依旧那么牛，看样子长相思第二部分也有保障了，不过没想到肖战的玉骨瑶吹得那么狠，竟然没比过杨紫成毅的沉香如屑，而且龚俊迪丽热巴的安乐传扑得那么惨也能进前十？？？,2023-12-06 13:13
2023下半年古装剧收视热度排行榜:Top6：《为有暗香来》Top5：《云之羽》Top4：《宁安如梦》Top3：《玉骨遥》Top2：《莲花楼》Top1：《长相思》你看哪几部呢？ ,2023-12-06 13:00
