#新闻学教授怒怼张雪峰#,Query time: 2023-12-24 15:12:51,likes
【：是建议大家去报考有专业壁垒专业】近日，接受记者采访时表示，我并不是建议大家去报考理工科专业，而是建议大家去报考有专业壁垒的专业。什么叫做有专业壁垒，就是我学了我能干，你没学你干不了。如果说没学也能干，但干不 【：是建议大家去报考有专业壁垒专业】近日，接受记者采访时表示，我并不是建议大家去报考理工科专业，而是建议大家去报考有专业壁垒的专业。什么叫做有专业壁垒，就是我学了我能干，你没学你干不了。如果说没学也能干，但干不好也行，但最好是压根就干不了。有专业壁垒的行业，需求理工科专业的学生更多，这是显而易见的。但是，文科也有存在的价值，尤其是在报考公务员的时候，有的职位是有专业限制的，法检系统，就必须是学法律的。（中国新闻周刊）,2023-06-14 17:17,2307
现如今有一个认真做新闻做内宣外宣的吗？还有敢做调查记者的吗？ ,2023-06-15 23:59,11
老师真的很好别骂了别骂了妈呀老师也不是站着说话不腰疼的他很体谅学生的小强老师人超好的而且说本科不是新传那有这样新传就是很喜欢复合背景的人啊门槛确实是低，学得好可不容易啊 ,2023-06-15 23:58,16
根正苗红的人真的没必要去传媒大学，有失身份。歪瓜裂枣去犹如故人归。没必要跟屁股歪的东西混在一起。,2023-06-15 23:32,0
关键是这个教授本科研究生博士专业 统统与新闻学毫无关系所以 不是更加说明新闻学没有门槛吗,2023-06-15 23:25,2
关键是这个教授本科研究生博士专业统统与新闻学毫无关系所以 不是更加说明新闻学没有门槛吗,2023-06-15 23:21,4
这种教授完成来碰瓷的，完全主持张雪峰。 ,2023-06-15 23:16,5
雪峰老师是好人，有点良心的都干不了新闻。 ,2023-06-15 23:03,17
新闻学学啥？ ,2023-06-15 22:59,0
23333333“自”媒体怎么了？还不是“传播”“传媒”？离新闻传播“专业”很远么？ ,2023-06-15 22:30,1
这位教授是不是看的抖音快手短视频？张雪峰还说了一大堆前提呢。 ,2023-06-15 22:20,5
张雪峰和张教授所占的角度不同，不能谁谁对谁错。就和《两小儿辩日》一样。家境殷实、有实例，你报啥都行，如果只是平常人家还要细细掂量 ,2023-06-15 21:25,3
真是家庭一般的学新闻学就是坑，还是深坑，有矿啥都好说 ,2023-06-15 20:51,1
退可以考公务员教授好大口气,2023-06-15 20:26,1
用考公务员员多证明好就业？考公务员的人多 不是从侧面反应了其实学新传没啥对口职业 才去考公务员吗按这个逻辑还不如抱汉语言呢 更好考公务员 ,2023-06-15 19:33,0
【：别被忽悠了】此前，张雪峰在直播中称“孩子非要报新闻学，我一定会把他打晕”引发热议，随后他继续回应称：985教传播的教授粉丝量还不如我，是不是有点问题？对此，6月15日，重庆大学新闻传播学教授张小强发文称，千万别被网红忽悠。张小强表示，新闻专业能文能武，主流媒 【：别被忽悠了】此前，张雪峰在直播中称“孩子非要报新闻学，我一定会把他打晕”引发热议，随后他继续回应称：985教传播的教授粉丝量还不如我，是不是有点问题？对此，6月15日，重庆大学新闻传播学教授张小强发文称，千万别被网红忽悠。张小强表示，新闻专业能文能武，主流媒体依然是一个能吸纳就业的行业。进可以自主创业、到互联网大厂，退可以考公务员，到国有企业。“任何专业都有好学校和差学校，我还是那句话，211以上的高校新闻传播学闭着眼睛选。双非院校的新闻传播专业谨慎选择，因为新闻传播学相对工科还是偏软的，因此，学校和专业排名很重要。”,2023-06-15 19:18,1
“一个985院校教新闻传播的教授，自媒体账号粉丝数和流量不如我，一个郑州大学给排水专业的本科毕业生，这里面是不是多少有点问题？”6月14日，继“孩子非要报新闻学，我一定会把他打晕”言论之后，考研辅导名师张雪峰抛出上述观点再次引发热议。教新闻传播 “一个985院校教新闻传播的教授，自媒体账号粉丝数和流量不如我，一个郑州大学给排水专业的本科毕业生，这里面是不是多少有点问题？”6月14日，继“孩子非要报新闻学，我一定会把他打晕”言论之后，考研辅导名师张雪峰抛出上述观点再次引发热议。教新闻传播学的教授自媒体账号粉丝数比不过网红老师的粉丝数就有问题吗？应该用哪些指标来衡量一位新传教授是否合格？另外，新闻传播学真的不值得学吗？,2023-06-15 19:06,76
【：别被忽悠了】此前，张雪峰在直播中称“孩子非要报新闻学，我一定会把他打晕”引发热议，随后他继续回应称：985教传播的教授粉丝量还不如我，是不是有点问题？对此，6月15日，重庆大学新闻传播学教授张小强发文称，千万别被网红忽悠。张小强表示，新闻专业能文能武，主流媒 【：别被忽悠了】此前，张雪峰在直播中称“孩子非要报新闻学，我一定会把他打晕”引发热议，随后他继续回应称：985教传播的教授粉丝量还不如我，是不是有点问题？对此，6月15日，重庆大学新闻传播学教授张小强发文称，千万别被网红忽悠。张小强表示，新闻专业能文能武，主流媒体依然是一个能吸纳就业的行业。进可以自主创业、到互联网大厂，退可以考公务员，到国有企业。“任何专业都有好学校和差学校，我还是那句话，211以上的高校新闻传播学闭着眼睛选。双非院校的新闻传播专业谨慎选择，因为新闻传播学相对工科还是偏软的，因此，学校和专业排名很重要。”,2023-06-15 19:00,14
现在新闻不就是当事人上传微博，然后一堆牛鬼蛇神出来评论，然后当事人再出来，然后再然后……的套路吗,2023-06-15 18:38,0
不存在的行业，学它干啥？ ,2023-06-15 18:20,3
目前这种氛围，报新闻学能好找工作么？主流媒体是那么好进的？竞争太大到时候又是各种卷，我也不看好新闻学。 ,2023-06-15 18:04,8
【：别被忽悠了】此前，张雪峰在直播中称“孩子非要报新闻学，我一定会把他打晕”引发热议，随后他继续回应称：985教传播的教授粉丝量还不如我，是不是有点问题？对此，6月15日，重庆大学新闻传播学教授张小强发文称，千万别被网红忽悠。张小强表示，新闻专业能文能武，主流媒 【：别被忽悠了】此前，张雪峰在直播中称“孩子非要报新闻学，我一定会把他打晕”引发热议，随后他继续回应称：985教传播的教授粉丝量还不如我，是不是有点问题？对此，6月15日，重庆大学新闻传播学教授张小强发文称，千万别被网红忽悠。张小强表示，新闻专业能文能武，主流媒体依然是一个能吸纳就业的行业。进可以自主创业、到互联网大厂，退可以考公务员，到国有企业。“任何专业都有好学校和差学校，我还是那句话，211以上的高校新闻传播学闭着眼睛选。双非院校的新闻传播专业谨慎选择，因为新闻传播学相对工科还是偏软的，因此，学校和专业排名很重要。”,2023-06-15 17:55,0
【：别被忽悠了】此前，张雪峰在直播中称“孩子非要报新闻学，我一定会把他打晕”引发热议，随后他继续回应称：985教传播的教授粉丝量还不如我，是不是有点问题？对此，6月15日，重庆大学新闻传播学教授张小强发文称，千万别被网红忽悠。张小强表示，新闻专业能文能武，主流媒 【：别被忽悠了】此前，张雪峰在直播中称“孩子非要报新闻学，我一定会把他打晕”引发热议，随后他继续回应称：985教传播的教授粉丝量还不如我，是不是有点问题？对此，6月15日，重庆大学新闻传播学教授张小强发文称，千万别被网红忽悠。张小强表示，新闻专业能文能武，主流媒体依然是一个能吸纳就业的行业。进可以自主创业、到互联网大厂，退可以考公务员，到国有企业。“任何专业都有好学校和差学校，我还是那句话，211以上的高校新闻传播学闭着眼睛选。双非院校的新闻传播专业谨慎选择，因为新闻传播学相对工科还是偏软的，因此，学校和专业排名很重要。”,2023-06-15 17:49,4
【：别被忽悠了】此前，张雪峰在直播中称“孩子非要报新闻学，我一定会把他打晕”引发热议，随后他继续回应称：985教传播的教授粉丝量还不如我，是不是有点问题？对此，6月15日，重庆大学新闻传播学教授张小强发文称，千万别被网红忽悠。张小强表示，新闻专业能文能武，主流媒 【：别被忽悠了】此前，张雪峰在直播中称“孩子非要报新闻学，我一定会把他打晕”引发热议，随后他继续回应称：985教传播的教授粉丝量还不如我，是不是有点问题？对此，6月15日，重庆大学新闻传播学教授张小强发文称，千万别被网红忽悠。张小强表示，新闻专业能文能武，主流媒体依然是一个能吸纳就业的行业。进可以自主创业、到互联网大厂，退可以考公务员，到国有企业。“任何专业都有好学校和差学校，我还是那句话，211以上的高校新闻传播学闭着眼睛选。双非院校的新闻传播专业谨慎选择，因为新闻传播学相对工科还是偏软的，因此，学校和专业排名很重要。”,2023-06-15 17:48,0
【：别被忽悠了】此前，张雪峰在直播中称“孩子非要报新闻学，我一定会把他打晕”引发热议，随后他继续回应称：985教传播的教授粉丝量还不如我，是不是有点问题？对此，6月15日，重庆大学新闻传播学教授张小强发文称，千万别被网红忽悠。张小强表示，新闻专业能文能武，主流媒 【：别被忽悠了】此前，张雪峰在直播中称“孩子非要报新闻学，我一定会把他打晕”引发热议，随后他继续回应称：985教传播的教授粉丝量还不如我，是不是有点问题？对此，6月15日，重庆大学新闻传播学教授张小强发文称，千万别被网红忽悠。张小强表示，新闻专业能文能武，主流媒体依然是一个能吸纳就业的行业。进可以自主创业、到互联网大厂，退可以考公务员，到国有企业。“任何专业都有好学校和差学校，我还是那句话，211以上的高校新闻传播学闭着眼睛选。双非院校的新闻传播专业谨慎选择，因为新闻传播学相对工科还是偏软的，因此，学校和专业排名很重要。”,2023-06-15 17:48,0
【：别被忽悠了】此前，张雪峰在直播中称“孩子非要报新闻学，我一定会把他打晕”引发热议，随后他继续回应称：985教传播的教授粉丝量还不如我，是不是有点问题？对此，6月15日，重庆大学新闻传播学教授张小强发文称，千万别被网红忽悠。张小强表示，新闻专业能文能武，主流媒 【：别被忽悠了】此前，张雪峰在直播中称“孩子非要报新闻学，我一定会把他打晕”引发热议，随后他继续回应称：985教传播的教授粉丝量还不如我，是不是有点问题？对此，6月15日，重庆大学新闻传播学教授张小强发文称，千万别被网红忽悠。张小强表示，新闻专业能文能武，主流媒体依然是一个能吸纳就业的行业。进可以自主创业、到互联网大厂，退可以考公务员，到国有企业。“任何专业都有好学校和差学校，我还是那句话，211以上的高校新闻传播学闭着眼睛选。双非院校的新闻传播专业谨慎选择，因为新闻传播学相对工科还是偏软的，因此，学校和专业排名很重要。”,2023-06-15 17:47,0
