五月天巴黎演唱会被指「真唱气息不稳」，如何从专业角度解读？与此前演唱会是否有不同？,gender,comments,likes,updated_time
嗷了一嗓子，玩了老命了。。后面一首歌唱的那叫一个惨不忍睹。。。要是每场都这么来，开不了几场就得歇了。,1,0,0,2023-12-18 07:42:01
只是忘了话筒在哪只手，不算假唱吧？要不你咬我啊,1,0,0,2023-12-15 04:00:23
搞得像这场跑调破音，国内没跑一样 ,-1,0,0,2023-12-15 00:59:06
一个学生之前考试能考90分，后来有人举报他作弊。于是他当着大家的面重做了一套，考了50分来证明自己之前没有作弊。,1,2,2,2023-12-14 01:03:03
我感觉五月天是台独这件事比假唱更严重哎。,1,0,1,2023-12-12 13:25:17
记得那是初中的时候，同学跟我说五月天的歌特别好听，于是周末去网吧通宵的时候百度搜索了五月天，从此走上了不归路,1,1,1,2023-12-12 12:04:50
乐队还要假唱真绝万万没想到这也能塌方。吉他都干脆不接电了是吧。真唱塌房不就是飞轮海，马上单飞开健身房还是直播带货。,1,0,0,2023-12-12 10:42:58
我为偶像的假唱买了单五月天真唱了。没真唱之前，粉丝们哭了。真唱之后，粉丝们哭得更厉害了。粉丝哭的不是买了票听假唱，也不是五月天不承认假唱，而是自己的青春自此破灭了。后青春期里，没有了诗，只剩下了欺骗。一、对于不少80后、90后来说，五月天不仅仅是一个乐队，更是青春的代名词之一。青葱的校园时光，谁的随身听、mp3里没有几首五月天的歌？亦或是年段大汇演，把《倔强》一次次推选成为班歌，整整齐齐站在校舞台上高唱着“我和我最后的倔强”。二十年过去，当年那群唱着《倔强》的少年，早已过了而立之年。在工作、生活、情感等多重压力下，他们选择用《你不是真正的快乐》和《伤心的人别听慢歌》来宣泄内心压抑的情绪，表达自己的不快乐。五月天的歌，之所以能够一次次被传唱、被喜爱，是因为那一字一句都唱到了80后90后的心坎里，唱出了80后90后最真实的精神状态。喜欢五月天，是不忘记自己的理想与梦想，是不丢失内心最真实的自己。五月天就如同孙悟空一样，守护着粉丝与歌迷心中尚未崩坏的地方。现如今，粉丝不得不在冬日里呐喊：金多虾！疯狂世界里，我才是那个憨人。二、回看整个假唱风波，深究会发现对于五月天真唱假唱的争议绝非空穴来风。在B站up主麦田农夫实测五月天演唱会音轨之前，早已有听过演唱会现场的粉丝和歌迷对五月天的声音提出了质疑，这种质疑声甚至可以追溯到疫情前。粉丝觉得五月天有假唱的嫌疑，请up主从专业性角度鉴定。up主实测鉴定，发现确实存在假唱。假唱，不是半开麦不是垫音，而是彻彻底底的对口型。五月天欲盖弥彰的黑白讲，换来的是更多粉丝为证偶像的清白，晒出了更多实拍视频，却进一步证实了假唱。为了有力回击，五月天宣布巴黎演唱会直播，可频频翻车的真唱和到不了的10拍E6，不像是自证清白，反倒像公开处刑的自曝。如今，不单单是主唱假唱，甚至曝出了其他乐队成员假弹。冰冻三尺，绝非一日之寒。五月天演唱会现场假唱假弹，已不再是单一场次的临时性行为，而是固定曲目假唱、一首歌里真假混唱、有计划有预演的长期行为。再一步步深挖之下，一场蓄谋已久的惊天大谎渐渐浮出水面。三、一年60场演唱会，在内地年吸金超30亿，连一个小小的官方应援棒都能卖出几千万业绩。看似疯狂的金额，其实大家都懂，疫情三年连五月天这样的明星乐队都饿趴了。不管是三年掏空了腰包，还是为此前签下的合同疯狂填坑，开演唱会赚钱这事它并没有错。你想赚钱，我想见你，本就是双赢。疫情三年的跨年夜，哪个粉丝不是蹲在电视前、电脑前，甚至捧着手机，跟着五月天一起唱歌、一起倒数。三年一场未开，还送上三场跨年演唱会，那空荡荡的体育馆，那座位上一根根排列整齐的应援棒，谁不想立刻插上翅膀飞到现场？不肯承认假唱，不仅仅是碍于被捧上神坛的偶像包袱，碍于好面子的大男子主义，更重要的是不愿意假一赔三。因为你们知道，真的赔不起。不管是台上的五月天，还是台下的工作人员，亦或是在幕后的经纪公司、主办方宁愿捂紧装满钱的钱袋子，宁愿开直播翻车连连，也要联合起来装作纯真疯狂开演唱会。哦不，如今的演唱会没有了唱，只剩下演。你们曾说“快乐很伟大”，想与我们一起高唱《笑忘歌》。现在的你们，只相信金钱才是第二人生的DNA。四、假唱并非不可原谅，不真诚才是最大的伤害。今年遍地都在开演唱会，唯独五月天最火热，甚至北京演唱会一票难求到官方都下场要求强实名。为什么五月天的演唱会这么火爆？熟悉五月天的粉丝一定不会忘记，五月天是怎么火的。没错，当年那个跑街头和校园巡演而火遍全国的五月天，靠的是他们超强的现场感染力，靠的是他们一首首歌声中的真挚。以前的演唱会，是短暂离开地球表面的快乐，是与五月天一起私奔到月球的放肆。如今的演唱会，是一张用谎言和虚伪精心编织的巨网，高举着青春和热血、想念和感动，等着粉丝歌迷自投罗网。你们嘴上说着“好好好想见到你“，要用一场完美的演唱给粉丝最美好的回忆。可完美不代表可以作假，不完美也不意味着不美好。花五百去伍佰的演唱会唱伍佰的歌给伍佰听，在状况频出的薛之谦“单口相声”演唱会上喊“退票”，哪怕是唱不上《离歌》高音的信（苏见信）、嗓音几乎嘶哑的汪峰，哪个粉丝又在乎这歌到底唱得完不完美呢？去他丫的完美！谁的人生是完美的？不完美的我又何需粉饰？五、这场假唱风波中最受伤的不是粉丝歌迷，也不是主办方，反而是五月天。无论官方最终的定论是真唱还是假唱（当然现在谁都知道真假），一个顶级乐队的专业度还能弥补回来，可丢失了信誉，就已经将撕开五月天高傲的外衣、拉下了华语音乐的神坛。我身边许多喜欢五月天的粉丝，知道五月天假唱后并没有表现出反感、痛恨，相反更多是惋惜和恨铁不成钢。惋惜的是五月天不自惜羽毛，不珍惜为了今天曾经付出的巨大努力和汗水。恨铁不成钢的是在这场公关危机下明明有更好的处理方式，偏偏选择了“死要面子活受罪”，硬生生把自己逼上了无法挽回的绝路。年少时的不服输、不认错，还叫倔强。即将知天命之年，还不服老、不认错，那只会令人抓狂。人要学会成长、要学会面对现实，成熟的一点就是接受自己的不完美和老去。所谓的大男孩，也不是常年靠留着鬓角过耳的长发、穿着大风衣、脚踩马丁靴就能叫做少年感的。真正的少年感来自的是内心对于生活的热爱、对于他人的真诚和对未来的憧憬。做好伪装、满脸奉承，那是被生活重压之下成年人才会用的招数啊！当五月天学会了伪装，就已经跟粉丝和歌迷脱离开了。听着五月天长大的80后、90后，面对眼前压力重重的生活不是伪装、不是奉承，而是选择摸鱼和躺平。当下的五月天和粉丝歌迷，就是青春疼痛文学遇上了躺平主义，就像原来争上游的鱼选择直接跳进油锅任人煎炸。若如B站up主刘二副所说的那样，公关声明说自己在辛苦工作之时摸摸鱼、伤病之身还要坚持上班，透露着几分打工人的无奈，不就拉近了粉丝歌迷的距离。粉丝歌迷看到台上也会英雄迟暮的偶像，不由得潸然泪下、缅怀自己逝去的青春。谁还不同情？谁还会喊着“退钱”？谁不争着抢着买你下一场演唱会的门票啊！！！,-1,0,3,2023-12-12 10:24:42
房山季鸟侯罢了,-1,0,0,2023-12-12 10:07:27
假唱算啥？只是门槛更高的假弹没有被人发现而已https://www.zhihu.com/video/1717719565436526592,1,0,2,2023-12-12 01:37:42
    五月天日前遭内地音乐网红麦田农夫爆料，表示经过计算机程序鉴定后，发现五月天的上海演唱会有5首歌曲疑似是对嘴假唱，指控他们在演唱会上疑「假唱」。事件持续发酵，为以证视听，五月天将香港时间12月8日凌晨的巴黎演唱会改为直播，吸引了6万多粉丝观看。主唱阿信为证明自己真唱，在演出过程中多次嘶吼飙唱兼激动跪地。阿信在歌曲有难度的地方几乎每句都有不准和破音，但整体效果都对得起粉丝花的钱。值得留意的是，阿信于12月6日在微博发文提到「每次唱这足10拍E6的高音，总是跪足捶地，仿佛如此，才能跟自己确认，抵达了至高的山巅。当然，每次的嘶吼，每一场，每一声，都来自于我依赖了24年的嗓子。除了真唱，否则没有其他感动你的方式。」，究竟E6高音究竟是什么？阿信所提及的E6高音，大约在1500Hz左右，相当于钢琴上的最高音。由于是极高音，所以歌手唱到E6的难度是非常高的，更需要歌手具备非常优秀的嗓音条件和歌唱技巧才能唱得到。而过去阿信曾试过在演唱会中唱出E6高音时，谷到全脸通红，不是专业人士请勿轻易尝试。今次的巴黎演唱会，阿信没有上到E6高音，有网民表示就算今次演唱会是真唱，因为阿信多次走音，但并不代表过去没有「假唱」，更有人表示：「阿信唱的确实费劲，很多破音、走调，所谓的E6也并没有唱上去……太难听了。」、「他演唱会如果不假唱真没法听。」、「阿信走音才正常，一场下来不走音才有猫腻，所以这场真唱的直播，几乎就是证实过去那些蹦蹦跳跳还不走音的就是假唱。,1,0,0,2023-12-11 21:42:07
