text,gender,comments,likes,time
不然是农业或者工业吗？,1,0,0,2023-12-20 14:02
张雪峰说文科都是服务业，得靠舔这两天闹得沸沸扬扬。竟然还有博主准备起诉，这种人可能被保护太好，一点不知这个社会是怎么运转的。想往上爬就是得舔，文科是这样，理工科也同样难逃。有人可能认为舔这个字很刺眼，这种人可能还没受过社会毒打。有能力有学历的人太多了，除非混到行业前几，不然谁会把你当回事。文科最火的几个专业，法学，金融学，汉语言，大部分人的专业能力都一样，没有背景的孩子想往上爬，只能靠舔。去公务员或企业，一边服务群众/客户，一边给ld写ppt，发言稿，干完任务，也得表达都是ld指导的好，这不也是舔吗。舔好舔对人，才能让自己有机会分得蛋糕。对于电气来说，可能比文科好一点点，但也难逃舔运。去了企业，当乙方做服务业，只不过可以靠技术点吃饭，少舔一点。去了电网，如果你不想晋升没有欲望，大可躺平舒服一生。但对于想往上爬但没有关系的人来说，就得靠服务讨好ld，ld说的什么都是对的，你做出的成绩都是ld指导的好。这样才可能尝得一丝丝甜头。,1,1,0,2023-12-19 21:13
他肯定不懂什么叫“具体问题具体分析”，由此来看他不懂文科，既然不懂文科，又怎样定义文科?,-1,1,0,2023-12-19 12:50
没说错啊！文科生你就算做到徐阁老这位置，不是一样舔,1,0,1,2023-12-18 22:13
文学家死后可以变成天文学家你只听说过天文学家和地理学家，没听说过天理学家和地文学家吧？ 所以文科以后是要上天的，理科才会下地 ^^,1,0,0,2023-12-18 20:31
服务业是牺牲平等，获取自由,1,0,0,2023-12-17 6:49
 戏谑行为，就是戏言，开玩笑，是一种“非诚意表示”。指表意人基于戏谑目的而做出的表示，并预期他人可以认识其表示欠缺诚意的一种行为。【新闻背景事件】日前，“张雪峰称文科都是服务业”这一词条引发网友热议。12月9日，张雪峰就“服务业总结成一个字，就是舔”等言论发布“道歉”微博。12月12日，微博博主“顾言右”就此发布微博，认为张雪峰的言论是对文科生群体公然的“人格贬低和挑衅”，欲就张雪峰此前言论将张雪峰起诉至法院。目前，他正在搜集起诉证据。(来源于网络已公开的新闻）一、什么叫“戏谑行为”？1、戏谑行为是指作出的意思表示并非出于表意人的真意，且期待对方会了解其并非出于真意。类似“玩笑话”、娱乐性言谈、吹嘘等行为。戏谑行为是内在真实意思与表达意思的不一致，是没有效果意思的，因为行为人追求的后果并不是法律上而是心理上的。 2、戏谑行为的意思表示一律无效，无论相对人是否信以为真。法律评价系无效行为。若相对人对戏谑行为信以为真，依据诚实信用原则，戏谑者有义务及时向对方澄清误会，避免对方遭受合理的信赖利益损失。3、因为没有给自己设定法律上义务的意思，“玩笑话”没有法律约束力。戏谑行为产生法律后果之无效是符合行为人期望的，这也是由于戏谑行为目的意思的不严肃性所决定的。戏谑行为人的目的意思能够为受领人识破，行为人的行为具有善意。法律豁免戏谑行为的法律后果，一个很重要的原因就是表示行为的可识破性。这种可识破性建立在一个理性人客观的衡量之上。超过了理性人所识别的范围之外，那么就是超过了这个“度”，将被法律所排斥。故可以从行为人的动机善意上进行考察，若外观可被识破的程度不高，则可能被认定为欺诈行为。4、同时戏谑行为也须保持基本的法律边界，一旦戏谑的言论、行为表现为侮辱(体现为不当的言词评价、贬低和毁损相对人人格)、诽谤(在真实性问题上体现为散布虚假事实)、侵犯隐私权(披露、散布法律所保护的他人私生活信息)等行为，影响到社会公众对受害人的评价时，则构成对名誉权的侵害。二、戏谑行为在符合侵权行为的构成要件时，属于名誉侵权行为 即便张的其相关言论属于民法中的“戏谑行为”，一般在不存在侵犯名誉的情况下，其实不用太较真。但戏谑行为也不是法外之地，在法律层面上虽然无真实意思的言论，一旦客观上存在损害他人名誉的事实时，同样可以认定为名誉侵权。1、名誉权侵权的构成包含四个方面的要件:@行为人客观上存在损害他人名誉的事实，并为第三人知悉。@行为人主观上有过错。@被侵害的对象应当是特定的人。@在后果上对受害人的名誉造成了较严重的损害。2、几个关键的要点须进行举证：1）原告主体：需要和名誉侵权的行为事实具有利害关系，这一要求本质上就是要求有法律上的利益冲突。原告认为自己享有的民事权益受到了该言论的侵害。被侵害的对象应当是特定的人。所谓特定的人是指某个具体的自然人或法人。如果没有特定的人，则在法律上就不存在所谓的受害人了。如果所指定的对象是特定环境、特定条件下的具体人，同样可以构成对他人名誉权的侵害。2）主观故意：应当以行为人是否具有实际恶意为标准。这种过错包括故意和过失。无论故意或过失，只要侵权人在主观上有过错，并在客观上造成他人的社会评价降低，即属于侵犯了他人的名誉权。3）损害后果：后果上，侵权人的行为使受害人感觉到一种不公正的社会压力或心理创伤，精神上折磨。且必须是客观实在的，而不是受害人主观上的一种感受，不是该人对其内在价值的自我评价。因此，行为人的某些行为如果没有造成受害人的社会评价降低，则不构成对名誉权的侵害。结语：按照“谁主张谁举证”的举证责任原则，在名誉侵权纠纷案件中，原告需要证据去证明侵权事实及实体权利受到了损害，相关的举证责任较为严苛。（作者：王洪lawyer【以法为剑】 云南恒志律师事务所）Tel：13577355518（微信同号）,1,0,0,2023-12-16 20:36
不考研不报学校的，评价他干嘛。服务业可是人类历史上最高贵的职业。有的人为自己服务，有的人为权力服务，有的人为人民服务。如果是对舔这个字不舒服，不理他就是。如果是为人民服务，我舔的心甘情愿，不可以么？,-1,0,0,2023-12-16 19:12
世界上有任何一门学科不为人“服务”吗？不能在某个角度为人“服务”的学科，还有什么价值？,1,0,1,2023-12-16 19:00
学什么专业不是服务业啊，工科服务机器，文科服务人类。但我觉得网友对学习的认知就有很大的问题。你学到的技能，或者思维模式，是要用于社会生产的，是要服务社会的，你管是不是服务业呢？没有学什么就一定要去什么大公司对口专业部门才叫做正确就业。文科服务社会说白了就是维护价值和赋予价值，很多公司的市场部门也在做这方面的工作。但我觉得文科学的东西还是很灵活的。你没有必要因为你不能给大公司赋予价值就说明你做的服务业卑贱啊。我记得当时香港有一群左币学生，为了对抗香港日益增高的物价和街边整改的门店，当香港越来越缺少服务平民百姓的低消费餐饮店的时候，学生们自发筹钱租下了一间店铺，开了一家公益餐厅进行社会服务和社会实验，每天随机提供不同的餐饮，不允许点单，保质保量，随意付钱，如果你不想付可以免费吃。除了雇佣了一名厨师，这些人轮流为这个饭店服务。这个项目当时维持了好久，最后拿到了香港政府的公益基金和社会各界人士的众筹，最后实在支撑不下去了，还进行了改革，租下了一家两层小铺，一层提供餐饮，二层提供书籍借阅和公共活动。我觉得文科就是做这个的啊，公式就是你发现了社会的一个问题，利用你能得到的资源和自己的学识，去将这个问题变好，或者赋予一个你专属的价值并为人所知。这群学生当然是服务业，他们擦桌子扫地洗碗倒垃圾，但没有人让你机械地去做这些流程化的劳动，全香港也没人觉得你在做机械劳动。这难道不是文科生的浪漫吗？另外，辩经是最没用的，因为你没有改变过社会，社会听不见你的声音，也不会给你更多的回应。张雪峰是实实在在改变了社会的，无论他改变的是好还是坏，但他说的话确实比你嗓门大。,0,0,1,2023-12-16 18:54
