王自如受访言论引发讨论，媒体评论称「质疑他、理解他、成为他，才是年轻人的出路么」，反映出什么社会现象？,gender,comments,likes,updated_time
"贴吧古早时期，我记得曾经有个神贴名叫《解密社会中升官发财的经济学规律》这是一个叫屠龙有术的哥们写的，很是值得职场人读一读。他有个关于升职的理论——需求决定价值。其核心观点是：被提拔的原因，不是因为你做了多少的苦活、累活、脏活，所谓的功劳、苦劳、疲劳都是次要的因素，甚至P都不是。真正决定性的因素是——如果领导提拔了你，让你掌握了更大的资源，将来你会对他更有用。能不能加薪主要是看你以后的贡献潜力，而不是你以前的苦劳功劳。高育良有句话说得好，不任人唯亲还任人唯疏吗？起码要有正反馈。那么，什么是真正的有用呢？一言以蔽之，你得满足上司或者领导的某种特定需求。这种需求，可以是实际的利益需求，也当然可以是精神需求。比如，你可以帮领导赚更多的钱。或者，你可以帮领导做大企业，获得更广泛的社会认可。或者，你可以帮领导解决生活中的问题，帮领导的父母解决就医、孩子解决上学等等常见生活问题。像李莲英一样特别会给老佛爷梳头，那也是很有价值的。所以，在一个企业组织内要升职，第一要义就是弄清楚领导的需求，并且要对需求进行细分研究，越具体越好，越细节越好。所以，对于有事业心的领导，有本事的下属哪怕当面冒犯他，他也能忍气吞声，打个哈哈就过去了，比如魏征之于唐太宗。对于一心就想吃喝玩乐的领导，你下属本事再大，不如会陪他玩的好，比如高俅之于宋徽宗。大家都看过大明王朝，严阁老这家伙整得天怒人怨，但为啥能得到嘉靖几十年的认可呢？因为他特别明白嘉靖的需求，而且是特别具体的需求，比如写青词，比如搞钱，总之一举一动，皆能满足嘉靖的心意，所以才能一路顺风顺水。嘉靖用人之道，就在于下属有没有用：“古人称长江为江，黄河为河。长江水清，黄河水浊，长江在流，黄河也在流。古谚云：‘圣人出，黄河清。’可黄河什么时候清过？长江之水灌溉了两岸数省之田地，黄河之水也灌溉了数省两岸之田地，只能不因水清而偏用，也只能不因水浊而偏废，自古皆然。这个海瑞不懂这个道理，在奏折里劝朕只用长江而废黄河，朕其可乎？反之，黄河一旦泛滥，便需治理，这便是朕为什么罢黜严嵩、杀严世蕃的道理。再反之，长江一旦泛滥，朕也要治理，这便是朕为什么罢黜杨廷和、夏言，杀杨继盛沈炼等人的道理。”当然，说这些可能有些腹黑，但是实际情况就是这样。在职场身为下属，对于领导的需求搞不清楚，想法弄不明白，怎么去升职？但这事很容易吗？很多人只要自己底线灵活就可以办到了，其实不然。有时候，领导说的和做的，完全是两回事，有时候甚至领导自己都没想清楚，自己的真实想法居然是这样。这事要掰开说，还能扯很多，总之，自如肯定有他的能力，他的能力就是懂领导的需求，至于吃瓜群众觉得这个算不算能力，这一点不重要。我有个朋友，做工程生意的，做的也不大，一年几千万营收，能挣个几百万。有天我问他，你们公司的核心竞争力是什么？他想了想，回道：我们公司的核心竞争力就是我自己。我们公司的活，全都是靠我攒了这么多年的人脉在酒桌上，KTV里谈来的。我调侃他，说到，那你们公司明年预算一定要重点花在两个方面，就是你的肝脏和肾脏的维护保养。同理可得，如果董是格力的核心竞争力，那么能够为董带来情绪价值的自如就是值得写入格力年度预算的“为建设格力核心竞争力而发生的费用。我是@社会成长录 底层穷二代。见过社会百态，走过弯路，遇过良机，受过挫折，十年奋斗，小有成就，欢迎志同道合者一起交流, 擅长解决职场升迁，送礼，人情世故等难题累计为3000+人解答过人际、送礼、职场等私人 ✅ ： L4655833添加即送《人性天书72章》《送礼绝学》《职场秘籍》全都是总结好的干货如果你觉得我的文字对你有帮助，只因我也因为同样的事情困惑过、观察过、思考过、成长过点赞一定让你今年暴富，关注我，带你看透这个操蛋的世界本质～",1,1,0,2023-12-10 10:00:39
高中政治课   不知道大家还记不记得一段话（也可能是初中   我政治比较差）初次分配重视效率   再分配要兼具公平在做蛋糕阶段    重视做大做好做强    份额大了    每个人都有得分    一些问题可以被掩盖而当蛋糕到了一定程度没办法再增大的时候增量放缓    而只能去争夺存量的时候当你快冻死骨    而别人还酒肉没臭但想着扔哪去的时候王自如是现在版本下比较成功的案例不道德   不体面   但活得好   活也得好     ,1,0,6,2023-12-09 13:16:56
"如果站在企业的角度看这个问题，会是什么样？从董明珠培养孟羽童开始，到现在重用王自如，到底发生了什么？孟羽童出生于1998年。在成为董明珠秘书之前，她曾参与录制了一档名为《初入职场的我们》的综艺节目，并凭借此综艺获得了董明珠的青睐与肯定，成功获得转正名额，最终成为董明珠的秘书。关于孟羽童为何受到董明珠的喜爱，有一种说法是：在与其他实习生进行面试时，大多数人或多或少都显得有些紧张，而孟羽童则展现出一种活泼可爱的气质，与董明珠的交流方式也相对年轻化。从一开始，董明珠便对她留下了深刻的印象。在业务能力方面，孟羽童表现得相当出色。她懂得主动站出来争取机会，并愿意承担责任。当被质疑时，她会坚定地表示自己是“负责人”，因此具有决策权。面对问题，她会展现出极大的决心，表示“给我时间，让我来搞定”。孟羽童的这些突出表现，无疑得到了董明珠的高度认可。2021年11月，孟羽童在格力电器官方直播间进行了她的首场直播带货。在这场直播中，她与观众们分享了格力电器的各类产品，持续了4个小时，期间上架了24件商品。总观看人数超过11.3万人，单场销售额达到了约62万元。到了同年12月，董明珠对孟羽童的才华和表现给予了高度评价，并表示希望将她培养成下一个像自己一样成功的企业家。董明珠在接受采访时曾表示，她在孟羽童身上看到了许多优秀的特质，如坚持不懈、执着追求和不怕困难等，这些都是成功人士必备的基本素质。当时，许多人都纷纷讨论，董明珠培养孟羽童究竟是因为她业务能力出众而进行培养，还是为了将其培养成自己的儿媳候选人。然而，不论出于何种原因，可以肯定的是，董明珠打算下大力气培养孟羽童这一点，在当时已经基本成为确定无疑的事情了。然而，董明珠并非真正看好孟羽童作为接班人。董明珠善于抓住热点，尤其是直播行业。孟羽童成为直播代表后，并不如意，董明珠希望她专注于格力直播，但孟羽童没有满足四五千的微薄工资，更倾向于发展自媒体，导致分歧。董明珠曾考虑为孟羽童加薪，但后者表示需要成长和锻炼，不急于涨薪。一方期望将孟羽童打造成格力的专属标签，一方期望通过格力和董明珠的跳板晋升到更高的层次，需求的不匹配让孟羽童和格力分道扬镳。5月份孟羽童的离职风波，近日又来了一次限时返场，董明珠在接受广东卫视的采访时，首次公开回应孟羽童的离职原因。董明珠表示，“有人认为自己用一个网红来认为自己有价值，那就是无本之源。你不可能在格力这个平台上，然后到外面去做广告，这肯定是不合规的。”一句话，再次将孟羽童与格力的纷争摆上台面。自双方分道扬镳后，孟羽童已然成为了一位超级大V，拍商务广告短视频、运营个人账号看似风光无限；而格力这边也没有闲着，另一位网红员工王自如开始浮出水面，大有新一代格力“顶流”之势。对于二者之间，董明珠也给出评价：“二者不在同一起跑线上，一个刚从学校出来，一无所知，而王自如经过市场的锻炼，对人生的认识不在一个层面上。”不过，看似一片祥和的局面，如今又因董明珠的公开评价风起云涌！""我哪怕每天什么事都不干，我就看她怎么开会，我听她每天讲什么、做什么，我都觉得是一件很幸福的事。""这个是王自如采访中，王自如一番肺腑之言，令董明珠是欣慰不已！视频里，董明珠对王自如不吝夸赞，听着王自如的阿谀奉承笑意盈盈很受用，网上很多人以此来作为两人关系猜测的证据。董明珠对王自如的评价是：“王自如与那些初出茅庐的年轻人在经验、认知和人生态度上不在一个层次，更显得成熟和敬业。”其实孟羽童靠董明珠走出来的花路，王自如靠自己早就走过，经历更丰富，成果更显著。2010年，22岁的王自如测评了一台iMac，因为他将苹果官网的英文电子产品用中文解释给网友听，并用用户视角评价产品，一夜爆红。 2011年，王自如创办评测机构 zealer，很快获得雷军的投资。 2014年，罗永浩不满王自如对锤子产品的评测，向王自如发起中国互联网第一次公开约架，吸引250万人观看直播。 王自如全程被罗永浩骂的插不上嘴，表面看似输得彻底，但却因此获得前所未有的巨大关注度，反而吸引到多轮融资，只用2年就把公司做大了10倍。2016年，28岁的王自如参加《我是创始人》，得到导师董明珠夸赞：第二季，你一定要来。 而两人产生更多交集是在2020年，那时的王自如虽然不缺钱，但是测评圈越来越不好做，他也在寻找自己的“第二曲线”。 格力入驻京东十周年庆直播中，王自如当主持人，与董明珠及京东高管对谈，重点分享十年间格力的创新营销方式及对渠道改革的思考。这场直播创下当时家电直播带货最高成交纪录，成交额破7.03亿。 于是，董明珠在13个城市开展全国巡回直播带货活动，王自如多次担任主持人。最后总销售额达476亿元，占2020年格力电器当年总营收近30%。格力的渠道改革比竞争对手起步晚，董明珠必须加快步伐，她要搭建自己的直播模式，开辟线上销售渠道，王自如也是着这个节骨眼入职格力，现在负责渠道改革项目。而入职了格力两年后，估计是因为工作需要，或者是认为时机成熟，他和董明珠都接受了电视台的采访，在采访中，他们才有了上面说的那一幕。可能是因为孟羽童工资的影响，主持人直接问到他工资的时候，王自如的回答引起了热议：支持他的人说:王自如情商很高，此举能加深董明珠对他的信任，经历过社会毒打的人都明白，35岁之后在体制内和领导搞好关系的重要性。 而反对他的人则说:为了个人前途不顾人格尊严，不分场合肆意吹捧，言行掉价引人反感，这和当年那个敢说敢闯坚持创业的王自如简直判若两人!在采访中，王自如回应了网络上各种对自己的质疑，他认为没见过任何企业家，会被口水淹死，作为一个企业的管理人，平时的精力和时间，应该放在工作上。虽然王自如引发了讨论，但随着被质疑，很快被部分网友肯定，毕竟网友认为打工人，能做到王自如这样，的确也算是一种幸福。可以说，王自如在格力，取得如此的成功，他做对了一件事，为“打工人”树立了新的“榜样”。入职了格力后，王自如很守规矩，没有依靠自己的名气，去私自接活，反而是一直围绕董明珠为核心，去开展工作。作为职场的打工人，第一的素质就是对公司表现出专一，王自如和孟羽童的差异，就是来自这里，孟羽童离开格力，是因为红了以后，私自去接活，而没有经过格力！但王自如却不同，他虽然是深谙媒体运作之道，但他入职了隔离后，身份转变非常彻底，他完全放弃了媒体人的身份，甚至停更了自己的社交媒体。而这一切，都是体现他对过去的割裂，以一个职业打工人的身份，参与到格力的管理，这的表态，对于董明珠和格力来说，都是非常受用的，但大家别忘了，当初看重孟羽童时，董明珠盛赞孟羽童像年轻时的自己，并希望企业未来的接班人，是像孟羽童一样的人。还会在孟羽童生病时，安排司机送她去医院；还会送漂亮衣服给她。从培养孟羽童开始，到现在重用王自如，董明珠一直都是同样的标准：不是我选接班人，不是我说谁能成功，而是我给我看上的人一个机会，这个人能不能成，完全看他自己。12月3日，孟羽童在社交媒体自曝在清华大学苏世民书院演讲，此事引发网友热议，迅速冲上热搜。在视频配文最后，孟羽童称：当你愿意袒露自己的无知和局限，反而会变得特别轻松舒适。不怕暴露自己的问题，不怕别人嘲讽的眼光，不会“看不起”暂时笨拙的自己，不会因为暂时的窘境而对未来无望。“渴望风浪，也准备好重生。”媒体评论称「质疑他、理解他、成为他，才是年轻人的出路么」不管是孟羽童还是王自如在我眼里都是非常优秀的。虽然网络上疯传各种版本的故事，但成年人应该有自己的判断，吃完瓜什么味有没有好好思考一下、沉淀一下？每一个人都不是完美无缺的，每个人都有他的闪光点，职场的道路千万条，成功的道路也有很多，他们一直在改变成自己，他们选择了不同的路，未来走得怎么样，时间会证明。",1,0,0,2023-12-09 00:07:29
"因为这代年轻人看不见希望。他们一边被父母传统思维束缚，一边被互联网思维绑架他们一边努力997，一边叹息房价直摇而上他们月薪五千，房贷三千他们能看到无数人的开心快乐、富裕富足，仿佛整个世界的人都比自己过得好他们是迄今被互联网毒害最深的一代，也是为互联网商人创造亿万财富的一代他们如梦初醒，清醒又荒唐明明工作一天回家已经很疲惫了，但熬夜的时间越来越长。因为只有晚上，时间才终于停止出卖，完全属于我自己。因为夜过得太快，我还没来得及打游戏、看剧、休息、谈恋爱、思考、写作，就又要天亮了。因为那些原本白天干的事情，现在全部堆积到了晚上，而白天，每个人都在贩卖自己的时间，并且被压榨着剩余价值的空间。白天干活越长，晚上熬夜越长，有一种错觉：年轻人的一天，不再是24小时。为什么会宅？只想瘫在床上。因为没有力气，身体不允许，因为没有心情，脑子不允许再进行复杂的社交和思考，年轻人：“终于毕业了，我要奋斗，我要赚钱，我要实现我的人生理想”专家：“好的年轻人，快快进厂打工，实现自己的人生价值吧”年轻人：“可工厂赚的钱不如送外卖，也不如当网红”专家：“虽然赚的钱不多，但是在工厂当一颗螺丝钉才是实现人生价值的正确道路啊”年轻人：“好吧，但是我还是攒不下钱怎么办”专家：“你可以把你闲置的房子租出去啊，也可以在在流水线上上完十二个小时的班后再去开自己的车做滴滴嘛”年轻人：“可是我打工赚钱就是为了买房买车啊，我要是有房有车了那还打什么工”专家：“哦，是这样啊，那你就要更加努力的打工了”年轻人：“可是现在房价太高了，我打工也买不起房子”专家：“嗯，这是个问题，那我们就调整一下利率吧，降到4.1，你看这样你每个月就会少还不少钱呢”年轻人：“我是说房价太高了......”专家：“嗯，确实是个问题，那这样，我们把贷款年限拉长一点吧，原本二十年的延长到三十年，三十年的延长到四十年，你看这样你每个月又能少还点呢”年轻人：“我的意思是，房价太高了，最根本的办法不应该是降低房价吗”专家：“为什么要这么做呢,这样很不利于年轻人的奋斗呢”年轻人：“可是我进厂打工，攒上十年的钱也买不上一套房子，现在没有房子，也找不到对象”专家：“难道我们现在指望的是房价很低，然后工作到处找？然后一点压力都没有？只要喜欢的女孩跟她一追，就同意？不会吧！”年轻人：“这样有什么不好吗？这样每个人都会很幸福啊”专家：“我们要坚决防止落入福利主义养懒汉的陷阱啊”年轻人：“你只让我吃苦，还不让我享福，那我不干了，我躺平好了”专家：“躺平是对社会不负责任的表现，年轻人就应该努力奋斗啊”年轻人：“可我就算再怎么奋斗，也无法过上我的梦想中的生活了”专家：“你梦想中的生活是什么样子的呢”年轻人：“有一份自己喜欢的工作，薪水能养活一家老小，有一套自己的房子，最好再能有一辆属于自己的车”专家：“你看，我现在就已经实现了你梦想中的生活了，我有一份薪水非常高的工作，有好几套大别墅，有好几辆豪车”年轻人：“你是怎么实现的？”专家：“很简单啊，我父亲是区长，我母亲是公司高管，我从小就接受了良好的教育，成年后就创建了自己的公司，并且有很多人慕名而来给我投资，很快我就实现了你的梦想生活”年轻人：“你为什么不去工厂，去当一颗螺丝钉呢”专家：“开玩笑呢，哪有官二代富二代去工厂的，我们最差的都去了机关单位，好点的都去了金融单位”年轻人：“那我也去考公务员，我读书可是很厉害的”专家：“我怕你会读书啊,就算是名校研究生,想都别想进我们单位,当年有个人仗着自己会读书,看不起我们这种靠父母的人,最后不还是求着我想进我们单位”年轻人：“最后呢，你帮了吗？”专家：“平时没交集,叫帮忙,你谁哦?这社会是互换资源,你有什么资源帮我,我用什么资源帮你。”年轻人：“那行吧，我没有家室，也没有人脉，更没有资源，但是我不想去工厂当螺丝钉”专家：“唉，年轻人，这都是为了你们好，怎么不听劝呢”事后，专家打开知乎：现在的年轻人都不能吃苦了吗？几个月后，专家与年轻人又碰巧遇见。专家：“怎么样，年轻人， 是不是想开了，进厂吧，年轻人要争当产业工人，这样才有助于制造业的发展，不能只考虑个人收入。”年轻人：“我是想开了，我觉得躺平挺好的，谁愿意去当螺丝钉谁去”专家：“也行，如果暂时找不到工作，可以先去结婚生子嘛”年轻人：“没钱......”专家：“开玩笑呢，现在国内家庭平均总资产300万正常，现在谁家还没有个50万的现金呢！”年轻人：“我没有”专家：“嗯，为了应对你们这样的年轻人，我们打算征收失业税，没有工作的要交钱！另外也要处罚恶意不生孩子的年轻人”年轻人：“我没钱，我家里也没钱，怎么交税，怎么结婚，怎么生孩子”专家：“你可以让你爸妈也出去工作，这样一家人都挣钱，积少成多嘛”年轻人：“我爸妈都六十多了”专家：“现在66岁到79岁仍是中年，我们要鼓励60岁以上初老群体再就业”年轻人：“为什么这样呢，给我们提高一下工资不就好了吗”专家：“我们不能提高劳动者的工资，现在老百姓工资太高，要降。”年轻人：“既然我们工作挣不到钱，那还不如回家种地卖粮食”专家：“农民出大力、流大汗一种懒惰和愚蠢，粮食与农民没关系”年轻人：“怎么没关系了，粮食从播种到收获，不都是农民在田间地头里忙活”专家：“嗨，你看，给忘了，以后割麦子不要使用收割机，会污染环境”年轻人：“这不行那不行，你们还不让人活了？”专家：“你看你，果然是小镇做题家，脑子做题坏掉了吧，我刚开始就说了，进厂当螺丝钉啊，或者走另外一条路”年轻人：“什么路”专家：“你可以付费上班，这样公司就会教授你工作技能，你也能获得工作经验，划算吧”年轻人：“呵呵......我躺平”事后，专家又拿出手机，发出疑问：“现在的年轻人到底怎么了，为什么都活在焦虑中?”这篇文章的内容，我删了40%，不然太敏感了过不了审，想看完整版的可以自己去我公众号找～这篇答案太过露骨我也不知道能不能存活，如果有缘看到的就点个赞吧吗，也欢迎大家收看我这些年总结下来的一些经验，相信一定对你有帮助～35 岁的你想告诉 28 岁的我什么人生道理？如果这篇答案被和谐，更多不能说内容我会更新到我的公众号：【里昂随笔】分享外面看不到的人情世故、社会经验和社会潜规则。点赞一定让你今年暴富，关注里昂，带你看透社会本质～",1,0,4,2023-12-07 20:19:08
如果工作可以使人幸福，那么王自如很显然实现了这个梦想。我并不认为王自如代表的仅仅是说几句漂亮话这么简单的事情。王自如能来到董明珠的身边，绝不是靠几句这样的话就能实现的。王自如本身就是一个非常优秀的人，无论从他的学历、曾经的工作经历和成绩，都能看出这一点。我认为，王自如的话，能够反映出他对于优秀人物的一种崇拜和追随。假如董明珠不是一位女性，而是一位男性，他大概率也会换一种说法，表达自己对更优秀的人的一种靠近追随的愿望。我们不可能复制王自如的成就，但是如果能选到自己值得一生追随的事业和榜样，我认为是有价值的。学习王自如，当如此。,0,0,0,2023-12-06 17:55:10
社会财富增量放缓，对于存量的博弈增加。这几年互联网上经常出现这样的梗：“二十岁的我嗤之以鼻，三十岁的我逐帧学习”“质疑自如，理解自如，成为自如，伸缩自如”，一些讲官场哲学的电视剧解析如《县委大院》《青瓷》总能获得高赞，你会发现上面的段子除了调侃之外，还有很多对现实妥协的意味。财经作家吴晓波曾写过一篇文章《中国正迎接食利时代的到来》，文章中提到一个概念叫食利阶层，指那些不需要从事实业经营，完全靠利息，股息租金就能获得稳定，甚至可以可以不断扩大自己现金流的人。过去我们常说的“财富自由”的人指的就是这类人。所有的财富自由都需要时代的契机，最早是改革开放时期，一些体制内待不下去的人搏一搏，最近是房地产，教培，互联网，金融领域的快速发展，造就了一批新贵阶层。但最近几年，上述的四大领域接连遭受重创，就业率也受到了很大影响。在一个增量减少的社会，存量的决策权就越来越集中，食利阶层倾向于固化，还没有达成财富自由的人也少了很多单靠自己就能改变命运的英气。所以，未来几年斡旋人际关系的需求就会越来越旺盛，可惜作为一个山东人我没考编，否则高低出一个体制内话术精选造福家人们。害。,1,2,72,2023-12-06 00:08:50
        自古笑贫不笑娼，当今社会更是以金钱为单一衡量价值体系，人们慢慢忘却了风骨和气节，甚至提到这些会满脸鄙夷的说：这值几个钱，有什么用？        形成鲜明对比的，越来越敬佩老罗这样的人，能坚守本心的人多么难得。,0,0,0,2023-12-03 00:40:23
2023年11月6日，格力电器董事长董明珠、格力电器渠道改革项目负责人王自如共同参加录制的广东卫视《财经郎眼》特别节目《问答八方》播出。节目中王自如的一番“奉承”言论引发舆论争议，董明珠关于孟羽童离职的回应也受到了较多关注与讨论。知微数据分析师结合相关数据，对事件传播情况、舆论观点、格力电器相关处置行为和事件影响等内容进行了梳理与分析，完整版报告可扫码添加“知小微”获取。01舆情概况自媒体账号推动舆情发展，格力报警为舆情降温。传播趋势上升期：董明珠、王自如在节目中关于绯闻的回应率先引发媒体关注，关联词条11月7日开始登榜社交平台，王自如在节目中的相关言论视频被剪辑传播，自媒体账号开始集中转发，至11月8日，包含王自如言论内容的词条开始登榜社交平台。此后，舆论围绕王自如争议言论、过往事件等内容展开讨论。热议期：金星、傅盛等公众人物的相关言论带动了事件热度的较高提升，格力报警相关消息引起各大媒体的跟进报道，在格力报警后，舆情热度开始逐渐降低。该阶段内，媒体主要聚焦王自如争议言论本身，从职场文化、企业文化角度发布深度评论文章。同时，王自如入职格力后的工作成绩、格力渠道改革效果等报道内容也开始密集出现。衰退期：11月20日，媒体人胡锡进跟评王自如节目视频，称“王自如的话被剪辑颠倒”，引发网友关于自媒体乱象的讨论。热搜/热榜据知微舆论场，从词条上榜时间来看，词条在11月8日、15日、16日和17日数量相对较多，11月10日至11月13日，事件词条出现“断档”情况。从词条类型来看，傅盛“炮轰”王自如、格力电器报警、王自如争议言论、董明珠和王自如在节目中关于“绯闻”的回应等相关词条数量较多。媒体参与情况从各阶段参与报道的媒体/自媒体来看，在事件上升期，自媒体参与活跃；至事件热议期时，每日经济新闻、澎湃新闻等主流媒体成为报道主力；事件衰退期内，主流媒体报道声量减少，自媒体报道声量再次增加。（更多分析内容，可扫描文末二维码，添加客服知小微获取完整版报告。）02各阶段传播情况王自如言论被剪辑传播，公众人物发声带动事件热度。上升期自媒体助推言论“出圈”传播相较于董明珠、王自如关于绯闻的回应，“我没有看过格力给我的工资条” “能不能给我一间离您（董明珠）比较近的办公室，我要随时向您汇报” “我哪怕每天什么事都不干，我就看她怎么开会，我听她每天讲什么、做什么，我都觉得是一件很幸福的事” “刚毕业的年轻人一定要学会心态归零”等王自如在节目上的言论引起了较大的关注与争议。在节目播出后，如微博博主@赵宏民 、@兽爷 等部分自媒体账号对节目视频进行二次创作编辑，老板联播、梨视频等账号开始集中发布节目视频片段，推动王自如相关言论在舆论场内传播。此外，不少网友还提到了2014年王自如罗永浩公开辩论事件以及罗永浩言论“被包养的人就不要谈什么独立人格了”，称“罗永浩一语成谶”。据知微舆论场，11月8日，包含王自如部分言论内容的词条开始登榜社交平台，相关讨论逐渐变多。其中，自媒体对王自如系列言论展现了较高的关注度。热议期主持人金星、猎豹CEO傅盛“入场”发声11月14日，以主持风格犀利著称的主持人金星发布微博动态：口含明珠、进退自如，被指内涵董明珠、王自如。金星在评论区回应网友“小区快递小哥叫自如”，否认内涵。虽然金星对内涵一事进行否认并将上述动态删除，但依旧引来了一些批评。有网友认为，“作为一个公众人物，这样说话，很没啥素质” “明目张胆嘲讽别人，这样有失体面”。11月14日，猎豹CEO傅盛在朋友圈公开炮轰王自如：“我只能说，王自如不仅是个吃软饭的，而且是个流氓”，引发网友猜测傅盛与王自如之间是否存有过节。第二天，傅盛删除动态并发文表示“自己骂人不对”。傅盛发声成为推动事件热度升高的又一重要节点，引起网友关注与讨论，关联话题登榜今日头条、微博、抖音和快手等平台，媒体围绕傅盛炮轰王自如、傅盛道歉等内容进行报道，舆论场中衍生出“傅盛炮轰王自如是否构成侮辱罪”等讨论话题。媒体围绕王自如言论争议，发布职场文化、企业文化深度报道除客观事实类报道外，部分主流媒体还从职场文化、企业文化等角度对王自如言论及事件进行了深度评述。《新周刊》从职场年轻人角度出发称，“质疑、开解、成为（王自如）才是唯一出路吗？”每日经济新闻透过事件评论称，“王自如的争议言论，是格力电器企业文化亮起的‘红灯’。”红星新闻评论员称，“王自如没忘记教育广大职场年轻人，属于典型的好为人师。”中新经纬引述财经评论人石述思观点称，“王自如展示的职场生存状态与公众期待的职场相互尊重、追求平等的理想格格不入。”衰退期胡锡进跟评事件称“王自如的话被颠倒了”11月20日，胡锡进就“王自如、董明珠受访视频”发表看法：自己找来相关视频与广东卫视节目视频重复对比观看后发现，王自如说的话被前后颠倒了。他表示，“认可不认可两人说的话，是每一位网友的权利，批评、挖苦也没问题。但是在原始资料上动手脚，恶意编排人家，用“蒙太奇”手段制造年轻男雇员对女老板阿谀奉承、吃相难看的效果，我认为我们的社会决不应该为这样的做法喝彩。”据知微舆论场，11月21日，话题“胡锡进：王自如的话被恶意颠倒了”登榜今日头条平台。（更多分析内容，可扫描文末二维码，添加客服知小微获取完整版报告。）03事件观察董明珠回应孟羽童离职，节目播出后前期孟羽童受关注更多。董明珠回应孟羽童离职董明珠在节目中有关“网红员工”孟羽童离职一事的回应也引发了较多关注，在节目播出后的前期，孟羽童舆情热度明显高于王自如。同时，董明珠“人在格力去外面做广告是不合规的”的回应也引发了孟羽童兼职私活是否违规、孟羽童广告报价收入等关联讨论。知乎、抖音、今日头条等平台出现了律师关于接私活解读的词条话题，部分媒体引述律师关于孟羽童接私活是否违规的解读进行了报道。此外，孟羽童在职格力时的工资收入话题也再度出现，早在5月孟羽童离职风波一事中，舆论就曾对孟羽童在职时的薪资信息展现了较高关注和较多讨论，不少网友对“孟羽童作为世界500强董秘月薪居然未过万”表达了惊讶，部分媒体则结合相关议题还创建了有关职场加班、薪资收入等讨论话题，引发部分网友产生职场共鸣。事件回顾 孟羽童离职格力，被称“不体面分手”2023年5月，“格力接班人”孟羽童离职一事引发广泛关注。彼时，格力电器回应称，“孟羽童已离开，不在公司任职。人员流动很正常，感谢外界关心。” 关于离职原因，孟羽童本人在当时并未作出正式回应，仅是回应称“下一阶段准备继续读书”。但根据中新经纬、上海证券报等媒体相关报道来看，孟羽童离职或与其“接私活”有关。事件周期内格力股价下跌事件周期内，11月6日至11月20日，格力电器（000651）股价整体呈现下降趋势，11月6日，格力股价收报34.08元/股，11月20日，格力股价收报32.79元/股。（更多分析内容，可扫描文末二维码，添加客服知小微获取完整版报告。）结语：综合本次事件舆论内容来看，王自如“我听她每天讲什么、做什么，我都觉得是一件很幸福的事”等言论被部分自媒体解读为“奉承”“谄媚”，甚至微博平台中还出现了#王自如 媚上表达# 话题讨论，而王自如“心态归零”等言论则涉及职场年轻人话题，“刺痛”了职场打工人的内心，不少网友感觉被王自如“教育”，纷纷对其表达了质疑与批评，王自如节目言论“出圈”传播逐渐失控。另外，金星、傅盛等公众人物、企业高管关于此事的相关言论，同样引起了网友批评指责。舆论认为，公众人物在公开场合应当谨言慎行。危机管理服务知微数据基于品牌舆情监测和历史经验的积累，提供在危机前、中、后期的专业服务，包括敌对/友好渠道跟踪、分析；小时级传播汇总分析；研判建议及公关效果复盘等内容，同时，在顾问团的带领下，对各行业的案例进行危机应对机制研究，助力品牌公关工作。目前，顾问团成员包括高校专家和公关行业专家。相关研究成果收入“危机案例教材”系列报告中，该系列报告为各行业危机事件的汇总研究，分为周期性报告（月报和半年报/年报）和事件专项报告，主要包括危机类型、首发渠道、公关举措等分析内容。危机案例教材示例青岛啤酒“工人原粮仓小便”事件分析 | 探舆论场专题报告：2023年直播电商风险舆情观察 | 探舆论场10月危机：青岛啤酒回应次数最多；小杨哥徒弟低俗带货影响较大 | 探舆论场,-1,0,0,2023-12-01 09:33:08
年轻人常有，富婆不常有。在富婆面前不是所有人都能伸缩自如。,1,0,0,2023-11-29 19:34:38
并不是每个人都可以进退自如,1,0,0,2023-11-26 20:52:06
