如何看待2024年放假安排？除夕不放假？,gender,comments,likes,updated_time
一开始我也不理解，后来才知道，节假日总天数是十一天，无法随便增加或者减少。虽然除夕没有被规定放假，但是鉴于其对于中国人的重要意义和国家公告中的提倡，基本上没有公司不放除夕，所以就相当于多放了一天十几年前除夕刚规定为法定节假日的时候，网络上也是一群人骂，因为按照我上一段话的逻辑，这相当于假日少了一天希望网友多理性思考一下，不要在不了解事情全貌的情况下就情绪化,-1,0,0,2023-12-18 18:31:29
我12年工作，那个时候除夕还是不放假的，但大多数单位还是默认这一天放假，然后有一年除夕法定放假了，那一回大家也是骂的很凶，因为那样就相当于少放了一天。今年除夕又不放假了，但是还是有很多人骂，所以不管你怎么安排总有人会不满意的。至于这一次骂的很凶的人有答主也推测，之前调整的时候这一批人可能还在上学，所以他们一直以为是放假的，这次突然调整了当然不适应了。,1,2,1,2023-12-18 14:24:56
说了不要崇洋媚外，不要过洋节，腰杆子要挺起来。怎么，过欧美的圣诞节还不够，现在还要过韩国的除夕是吧？？,1,0,0,2023-12-18 11:28:02
建议信仰伊斯兰教，以后我们都是穆斯林，假期多到不敢想,-1,0,0,2023-12-18 11:20:00
策划、撰文 / 一佳、Ivan编辑 / KY主创们2023 年还有两周就过去了。如果让你对这一年做个总结，你会如何回忆它和概括它？是带着笑还是很沉默？我们总结了这一年大家在互联网上呈现出的 10 种最明显的精神状态，来看看，有几种戳中了你。发疯是一种对自己精神状态的全面放弃，内心的稳定程度就像在一根针上放了一座倒立的金字塔，崩塌与爆炸一触即发。现在的发疯已经从「发疯文学」上升为一种处事哲学：房子着火我拍照生活乱套我睡觉想 ，但又觉得 的应该是别人问题不大、大事化小薯条谁惹我就（至少在心里）创飞谁我看谁能管我！……没办法，大家发现，在一些该争取自己正当权益的时候，放下礼貌、不讲素质地发疯，比好好讲人话管用多了 。每个习惯了情绪内耗、过度焦虑的人，都需要允许自己享受几个发疯时刻，遇事不爽，骂骂脏话；谁 pua 你，你就 pua 回去；学会看淡别人的反应，你不喜欢我，是你的观点，而非我的问题，难道要我委屈自己讨你开心吗？我们有权感受自己的情绪，也有权表达它。渐渐地你也许会发现，自从整个人的精神状态不太好，整个世界好像都会为你让路。——其实到底是不是真 i，一起去一次 KTV 就破案了。MBTI 测验可以说是今年心理学领域最出圈的概念，它甚至有望取代曾经的星座，成为陌生人破冰的开场白：「我 entp，你呢？」（对面的 infp 心想：要命，怎么又一个没有边界感 e 人）那些明明很 e 还自称 i 人的人，倒也不是恶意扰乱 i 人的市场秩序，可能 ta 们发现了 i 人独有的社交红利：遇到自己不想参与的社交场合，或是想逃掉一些尴尬的发言环节时，抛出一句「不好意思哈，我是个 i 人」已经越来越能被大家理解和包容。当然也不排除，自称 i 人不过是 e 人们 play 的一环，看着 i 人听到这句话时的大惊失色，ta 们会在心里暗喜：「嘻，又被我调戏到了。」「笑死」已经成为了大家网上聊天的必备。不信搜搜你聊天记录里的这两个字，你一定会被自己和朋友「笑死」的频率和次数惊到。会被大家挂在嘴边，是因为「笑死」已经成了一种时刻在线的精神状态。一方面，这是一个幽默感大爆炸的年代，每个人都在参与传播、制造「梗图」「段子」，朋友们还会把新鲜出炉的爆梗当作社交货币一键转发——哪怕对方转来的是你三天前发给 ta 的视频，也要看破不说破地「笑死」，毕竟 ta 转给你的东西你也从来不看 。另一方面，这也是一个心理能量坍缩的时代，生活中越来越多的「大离谱事件」——职场宫斗、婚恋难题、养娃竞赛——都在频频消耗大家的心理能量。应接不暇的成年人释怀了：放心，任何困难都可以克服我。遇到不开心的事情不要慌，先发微信群里让大家一起「笑死」。不过，即便常常「笑死」的人注定与「情绪稳定」无缘，但也不必太担心 ta 们的精神状态。就像「一边哭一边吃过饭的人，定能坚强地生活下去」，当一个人还有把日子过成段子的幽默感，ta 八成也能在上帝关上一扇门时，再把门打开，因为门就是这样用的。吗喽、水豚，并列今年年度顶流动物、当代打工人的精神图腾；它们的表情包和梗图，更是一度成了互联网上的硬通货。在「吗喽的命也是命」「我不是闲猴，我要工作的」「幸苦赚来每一分钱」表情包里，打工人共情到了同款的命苦和辛酸——大家的命都是命，但也许自己的还不如猴子高贵 。做吗喽久了，水豚的精神状态真的馋死了打工人。它们的日常，不是在闭目养神，就是在温泉泡澡。为了能早日实现同款生活，打工人们自愿遁入「豚门」，从换头像、改签名这些小动作开始，用水豚精神反抗工作对自己的异化：上班的时候，换上水豚稳如泰山的头像，表现自己不卑不亢、不装、不 care 的态度；放假的时候，换上一个大大的水豚「休假中」，提醒那些不识相的同事「漂亮宝贝下班了」，无事勿扰，有事更™勿扰。换个头像的努力尽管微小，也会一点点撬动压力山大的精神状态，祝大家早日从「吗喽」毕业，成为像水豚一样的松弛大师。「文化体力」对成年人来说，可能本身就是种奢侈品。在高度竞争和高强度工作的环境下，人上完一天班后，不仅会因为长时间进行脑力劳动导致认知疲劳，还会因为情感投入和社交互动出现情感疲劳。这二者都会导致心理带宽（working memory）下降甚至消耗殆尽，心理带宽是大脑在进行认知任务时能够同时处理和存储的信息量。心理带宽不足时，我们自然更倾向选择轻松、消耗较少心理资源的娱乐活动，而非需要深度思考的文化活动。就像电影《花束般的恋爱》里的男主角，刚毕业时，谈甜甜的恋爱，喜欢和女朋友一起看文艺电影和小说、探索海拉鲁大陆；成了社畜后，要考虑事业发展、赚钱养家，每天下班回家只有心思玩手机消消乐——这种状态，打工人真的太懂了，不是不想成为更好的自己，而是真的没有力气 ！前几天看到一个视频，一个 90 后女孩离开大城市去海边的小村庄生活，因为她感觉自己的人生始终都在完成一个个任务：上完高中考大学，大学毕业找工作，事业稳定结婚生子……因此一直感觉很疲惫、焦虑，离开本来的生活是想试试只「做自己」是种什么体验。她的分享引发了很多人对生活意义的积极思考，但也有个网友辣评：「就是懒」。确实，当一个年轻人表达出自己对 gap 的渴望时，常常会获得一种误解：「说那么好听，就是给不想工作找借口」「不上进」「什么 gap，就是不负责呗」……再加上职场招聘规则等现实条件的限制，并非所有人都支付得起 gap 的代价。但 gap 的意义又非常重要。它不仅是一种完全的休息，即能拥有纯粹属于自己不被工作打扰的一段时间，也给人机会对自己过往的人生经验做个总结。去看看自己不曾走过的路上的风景，与不同生活经历的人碰撞，才能够更加了解自己、定义自己生活的意义。即使这样的时间没有一年，一天、一小时也是好的，这是当代人一边向现实妥协、一边尝试拓展生活边界的最小成本的倔强。「搭子」文化确实是社交降级的产物。饭搭子、电影搭子、演唱会搭子，ta 们可以拍照、占座、拼车……只要找到了正确的打开方式，朋友能做到的，「搭子」也不会差到哪里去。虽然社交降级听起来是种后退，但其实它能实现对社交活动的优化。当一个人主动选择减少社交活动的数量，就有精力更好地关注自己的内心需求，发现哪些朋友是自己真正喜欢的，哪些朋友是出于面子、虚荣、不好意思拒绝等奇怪的原因在维护。社交降级给了我们机会去寻找和建立更有意义和深度的社交关系，和更多自己真正在乎的人进入社交的更高阶段。另外，搭子也不是没有转正的可能，也许 10 个搭子里，就会有一个最终能发展成朋友、恋人～这是一个有点伤感的故事：- 第一次看到阿白在公众号后台的留言，发现 ta 的想法与我不谋而合，我开心地回复了 ta；- 第二次，我有种老友重逢的喜悦；- 第三次、第四次……我简直觉得阿白是我的「世另我」。我开始每天在后台等待阿白的留言，直到我的同事告诉我：「阿白」不是一个人，它是一个面具，或者一个符号，我在留言里看到的根本不是同一个「阿白」，但也可以说，ta 们都是同一个「阿白」。曾经，在互联网上大家都想做最显眼的存在，会为了寻找一张有个性的头像、取一个与众不同的网名而绞尽脑汁；而如今，大家转而选择手动为自己披上电子马甲，当人们选择成为「momo」和「阿白」时，ta 们实现了一种去身份化的效果。也许当 ta 们隐于千千万万个「自己」之中时，终于在这个可能因为发表观点被嘲、被喷的互联网里，感受到一种完全的舒展和自由。不过放心，当代人的「迷信」理性尚存，呈现一种「按需迷信」的趋势：大部分人认为，「左眼跳意味着你要发财，因为左眼跳财；而右眼跳动，是神经肌肉兴奋性增高引起的眼睑痉挛，是正常现象，请相信科学」。另外的一部分人，可能主要为了去打卡素斋，十几块一份的素斋自助餐真的香。「日常迷信」也有一些积极作用，比如，如果你相信冥冥之中有股力量在庇佑自己，那它确实可能帮我们缓解焦虑，甚至提高表现水平、提升我们对生活的掌控感，这可以理解为一种安慰剂效应。（当然也不能过度，美好生活还是要靠自己的双手去创造 ）「日常迷信」还能在某些时刻发挥意想不到的效果：如果你想劝一个「恋爱脑」的朋友分手，晓之以情动之以理都没用，一句「Ta 会影响你的财运」可能会让对方立刻悬崖勒马。确实，今年没有什么能动摇大家想要发财的决心，伤害什么，都不能伤害我的财运。当代人真的很烦别人给自己贴标签，但 ta 们给自己贴起标签来，为啥下手更狠？「正式确诊」可以说是一种很新的立人设方式，大家通过把自己正式确诊为xxx，用一种幽默、自嘲的方式来表达自己那些难以形容的感受，让别人秒懂自己的境遇。比如，确诊为薯条的人，认为自己：每天都在油锅里煎熬；老板说像我这样的，一抓一大把；可以轻易被人拿捏……等一下，我怎么有点汗流浃背了，我感觉 ta 在说我，但我又没有证据。「正式确诊」的妙处就在这里，有些话如果用来形容自己，是残酷了一点 ，但如果说的是薯条，就很合理，大家也会争相认领。「确诊」与「被确诊」行为的背后，其实是大家渴望被看见、被理解的需要。自己生活里琐碎的烦恼一两句话根本讲不清，尤其在人人忙碌、注意力稀缺的当下，即使是朋友都没有耐心听完我们的故事。一句小小的「正式确诊」，让我们能在人群里找到遥远却真实的共鸣，在那一刻知道：我不是一个人、自己并不孤单。征集、投票选出这 10 个关键词后，我们有些感慨：看起来，大家这一年过得似乎都不轻松。但从另一个角度来说，至少也不单调、乏味 。带着这一年的收获走进 2024，不能保证 2024 会对你好一点，但请确保你会对自己好一点。这些年度热门精神状态，哪个让你汗流浃背了？又有哪个让你感觉被「报身份证号」了？或是有没有漏掉最能代表你的那个关键词？,1,0,0,2023-12-18 10:56:37
过年这么重要的节日，大部分一年也就过年的时候回家，想不明白为什么假期这么短。,-1,0,0,2023-12-17 21:56:57
不好评价其他的，就祝大家复活节万圣节感恩节平安夜圣诞节快乐吧。———————分割线————————12.16随手放几张港澳圣诞季的街景自己不重视的东西，别人也不会尊重你。,1,14,2808,2023-12-16 20:49:36
我现在突然觉得，他们是想利用卡假期的方式来延缓即将到来新冠变异毒株的传播。,1,0,0,2023-12-16 12:58:32
除夕,1,0,1,2023-12-15 20:48:25
"我之前从小一直以为年饭是除夕那天,中午2点-3点吃的,现在才搞明白原来大家都是晚上吃年饭啊,真不知道这样会不会改变我们村长期中午吃年饭的习俗今年我饭是吃不上了",0,0,0,2023-12-15 15:58:48
因为总有喜欢加班的人,1,0,0,2023-12-15 13:56:27
除夕不放假和私企有什么关系？？有多少私企能撑到年底不放假，私企都是提前放假能节省工资开支。,-1,0,2,2023-12-15 13:32:22
建议有人直播除夕当天发改委大楼进出情况，看看有多少人在上班！,1,0,0,2023-12-14 17:36:40
一起包饺砸！,-1,0,0,2023-12-14 10:51:04
我TM倒要看看，你们这些叫得欢的人除夕那天有没有在工作岗位上！,1,0,1,2023-12-13 19:55:07
抗压测试而已。,-1,0,0,2023-12-13 17:52:25
已经从当年的一根筋成长为现在的两头堵了。之前吧，调休这种事儿，已经被打上中国特色了，再配合上相关部门的言论，“研究了好几百个方案才想出来这么个调休的办法”，所以经常会被喷。这时候就有人想了，有没有一个不爱喷的办法呢？不调休肯定不行，没人消费，会有领导喷；调多了也不行，都休息谁干活呢？还会有领导喷；常规调法呢，老百姓会喷；等一会，老百姓喷？啊，那没事儿，喷去吧，我也不掉块肉。再等一会，为什么要让老百姓喷我呢？我只要除夕不放假就行了。反正早些年除夕也不放假。我这最多算是恢复之前的放假方式。然后呢，我再加一句，鼓励企业放假。反正是鼓励你，也不是要求你，更不是命令你。你要是没放，让老百姓喷自己企业去吧。你要是放了，这说明我的鼓励是有作用的嘛，老百姓感恩戴德吧，我帮你们争取了多一天休息呢，这以后我再调休，我看你们还能说啥。反正我除夕上午露个脸我就走了，不耽误我晚上做年夜饭。嘿，我他娘的还真是个天才。,1,0,0,2023-12-13 13:38:08
别问了，评论区都被关闭了，你会惹恼老爷不开心的，一切以大局为重,-1,0,0,2023-12-13 13:38:00
写了很多又删了，突然觉得无话可说了，那就提前祝大家新年快乐吧~,-1,0,0,2023-12-13 11:31:00
个人看法，这是一个国家对劳动者态度的问题，现在都说1年中有100多天假期，已经对劳动者如何如何好了，条件如何如何优越了。。。首先这就是个悖论，从什么标准上定义，1年有100多天假期就是对中国劳动者比较大的福利了？抛除一线大城市白领工作舒适高收入工作，我相信中国98%以上的劳动者 依然是背朝黄土面朝天的工作状态，每天有多少工作时长？能不能贯彻执行国家双休政策？ 加班能不能获得应该的加班报酬？本人老家东北二线城市，月工作25天 ，不足2000工资的工作、劳动者非常多（还不给交保险）。国情复杂，没办法做到平衡！  能不能最大程度照顾到中国98%以上的普通劳动者，应该是那些衣食无忧 平步青云的官老爷门，应该重点考虑的事情。,1,0,0,2023-12-13 10:19:23
,1,0,1,2023-12-12 22:28:16
这是个好事儿啊把压力变相转移给企业相当于多放一天假,1,0,0,2023-12-12 19:06:49
别问，问就是中华优秀传统避讳文化，人家不把除夕这个节日给取消了都已经是祖宗烧高香了，你就偷着乐吧。,0,0,0,2023-12-12 10:56:03
就这个放假安排，最少还要被骂七次。合集：如何看待2024年元旦实际上只有一天假？如何看待2024年春节实际上只有三天假？如何看待2024年清明节实际上只有一天假？如何看待2024年劳动节实际上只有一天假？如何看待2024年端午实际上只有一天假？如何看待2024年中秋实际上只有一天假？如何看待2024年国庆实际上只有三天假？,1,0,0,2023-12-12 09:32:42
就连美国（加州）都是放假的,-1,0,1,2023-12-12 07:43:42
我不太在意，我们老板开会说了！不管国家的放假政策！除夕放假一直到过了元宵节！16号上班！ ,1,0,0,2023-12-11 19:48:53
据北京日报消息，8日，北京市人民政府办公厅正式发布关于2024年元旦放假安排的通知：此前，国务院办公厅发布的关于2024年部分节假日安排的通知显示：元旦：1月1日放假，与周末连休。此外，2024年其他节假日放假安排如下：春节：2月10日至17日放假调休，共8天。2月4日（星期日）、2月18日（星期日）上班。鼓励各单位结合带薪年休假等制度落实，安排职工在除夕（2月9日）休息。清明节：4月4日至6日放假调休，共3天。4月7日（星期日）上班。劳动节：5月1日至5日放假调休，共5天。4月28日（星期日）、5月11日（星期六）上班。端午节：6月10日放假，与周末连休。中秋节：9月15日至17日放假调休，共3天。9月14日（星期六）上班。国庆节：10月1日至7日放假调休，共7天。9月29日（星期日）、10月12日（星期六）上班。国家企事业单位过年不放假，各位别争来争去的，该放假的过年依然放假！,1,0,0,2023-12-11 19:45:34
赢了，赢了，耶✌,0,0,0,2023-12-11 17:03:49
工友们（一起打工的朋友们）最新放假通知来啦~12月底就有假放！2024年的第一个假期！有计划回家或旅行的宝现在就可以计划起来了要是想休时间更长一些下面的拼假方案收好了北京发布2024年元旦放假安排！12月8日，北京市人民政府办公厅正式发布关于2024年元旦放假安排的通知：根据国务院办公厅通知精神，现将2024年元旦放假安排通知如下：2023年12月30日（星期六）至2024年1月1日(星期一) 放假，共3天。图源北京市人民政府拼假攻略1月2日-1月5日请假4天，加上1月6日、1月7日两天周末，可连休9天。,1,0,0,2023-12-11 13:56:01
虽然我觉得发改委挺恶心的，但是我就想，难道真的会有公司那一天不给放假吗？我认识的一些朋友，他们的公司当天给放一天福利假别的不说，难道老板大过年的也想出来上班吗？就真的不放假？？那这这公司的恶心成啥样了,0,0,0,2023-12-10 20:56:59
发压岁钱大家不放鞭炮都随便。多收礼，人们当然骂骂咧咧了。每人发一万块，一批人不过元宵都行。,-1,0,0,2023-12-10 19:58:48
