张雪峰文科就是服务业,Querytime:2023-12-23 20:54,点赞数,点评数,用户昵称,IP位置
因人而异吧,2023-12-14 21:10,1,0,信敬瑞,黑龙江
人家说的是实话,2023-12-16 15:27,0,0,Oath.,吉林
老师，独家解析这么快就出来了吗[赞R][赞R],2023-12-12 19:51,0,1,Burner,浙江
获取独家解析@唯才老师助手,2023-12-15 18:06,1,0,张唯才讲公考,广东
独家解析怎么获取,2023-12-13 20:57,1,0,笑话故事会,江苏
目前印刷中，请各位等待一下,2023-12-14 10:45,0,0,张唯才讲公考,广东
首先要明确什么是服务业[笑哭R],2023-12-19 07:52,1,0,倦尘乱世仰星光,天津
张雪峰这人真的很庸俗，而且很短见[捂脸R]稍微有点独立思考能力的人对他都嗤之以鼻[石化R],2023-12-16 09:37,0,0,ScarlettLiu,广东
打卡,2023-12-12 16:56,0,0,咯咯,广东
只要不是直接产生效益的，都是服务业，更是老板认为的不来钱还花钱的[笑哭R],2023-12-10 09:22,1,1,✨娜酱～,浙江
其实所有都是服务业啦 没事的 大实话而已 大实话不好听也是实话[笑哭R]我也是文科生 确实是这样,2023-12-17 13:59,0,1,hope,辽宁
看到没，所有这种做所谓的培训行业，学历提升啥的，都需要他贩卖焦虑来赚钱。还有那么多人捧臭脚,2023-12-14 20:32,0,0,alexbi,北京
萝卜白菜，各有所爱。立场不同，角度不同，认知不同。走不出认知的困境，到哪里都是囚徒。认知错位，吃苦受累。一个人的命运，1%靠别人敲醒，99%靠自己觉醒。努力谁都会，选择靠智慧。,2023-12-12 20:01,0,0,思维创富,辽宁
在一定地域范围内是对的。,2023-12-12 11:28,0,0,NiiiTaco,美国
哈哈！老张啊！想起自己的从业经历！作为中文系毕业的人，从报社到博物馆工作过。在报社被教导，记者写文章不是“两肩担道义，妙手著文章”而是给领导唱赞歌，给广告商写宣传，不管真假，反正写美了，人家才给广告费。在博物馆是，不管怎么样，晚上领导几点来，你得候着，人家来，你得好好陪着。 老张所谓舔是丧失人格的工作方式，就是“爷，我给你笑一个”。要想真的写点什么，讲点什么是不被允许的。更关键的是得用你手里的笔，脸上的嘴把这些人写好了，讲美了！,2023-12-12 08:37,1,0,邢大信,辽宁
,2023-12-20 23:38,3,1,名字想半天,上海
说实话，绝大多数学生在高考之前对职业都存在信息割裂，父母辈也只能对他们沉浸多年的行业略知一二，学生对行业的想象大多来自影视行业：医生高尚、金融精英、外交官优雅、文学深沉，而这些职业滤镜本身就是与现实脱轨的。学生只能看到理想的一面，以为只要学了就能达到这个行业最前端的光鲜亮丽。张雪峰只是帮他们加上现实的筹码，从理想的极致拉回来而已。他不是在贬低文科，只是在告诉普通人走这条路需要付出的代价。而你的思考完全脱离了主题以为他是在否定文科，别站在高尚哲思的角度去何不食肉糜了，不是每个人都必须把民族国家“文科”希望排在个人生活之前，你以为的号召只是沉浸在自我道德高潮当中[汗颜R],2023-12-16 20:43,353,1,momo,重庆
哲学对一般人 确实无用 但是你到了一定的高度 确实需要思考一些哲学问题,2023-12-23 18:16,0,0,momo,江苏
你说的是人文社科，他说的是学位证书上被分为文科的专业，不是一个东西。如果不需要找工作，学历就只是废纸，但学过的知识永远不会作废。有些人只需要那张废纸，因为社会生产为了极端追求效率，达到最大利益化，就把人当作一打废纸来快速筛选。这不是将废纸视若珍宝的人的错，是社会体系的问题。有些人功利也好，幻想自己跨越阶梯转头去压榨别人也好，自欺欺人说学历能裁决人的优劣也好，其实都是资本主义社会为了掩盖最根本的阶级问题，将不合理的剥削伪装成合理的。真正的问题是，1%的那些人在制定规则，而普通人只能遵守，甚至为了抢被剥削的坑位，卷到猝死。那能怎么办？普通人就是没办法。只能去争抢，然后安慰自己这是合理的,2023-12-23 06:39,0,0,小红薯6377F516,北京
真？@音你闪耀 @momo,2023-12-22 15:58,0,0,风铃洋车铺子,山东
