,text,time,labels
2,学理科吧，跟我一样选个自个喜欢的东西，忙不完的整理……跑野外，拍花草，采标本，收种子……啊，东西越攒越多，我好富有呀！完全可以摆个展了，好几大箱子种子与果实，一大摞植物标本……不少老师跟我借过东西科学节摆展，被邀请去学校讲课光教具种子就拉了一大行李箱… 学理科吧，跟我一样选个自个喜欢的东西，忙不完的整理……跑野外，拍花草，采标本，收种子……啊，东西越攒越多，我好富有呀！完全可以摆个展了，好几大箱子种子与果实，一大摞植物标本……不少老师跟我借过东西科学节摆展，被邀请去学校讲课光教具种子就拉了一大行李箱……图1 北美香柏，上面大小孢子叶球都有哦！图2 野菊与甘菊对比的标本，放一块一目了然图3 黄花蒿与上面的虫瘿图4 各种形状与颜色的小叶子图5-6 蒺藜，刺儿菜图7-9 求米草，鸡爪槭，黄栌（带有毛茸茸的不育花的小花梗）,2023-12-09 02:26,1
8,很认可，文科本质都是销售，文科除了考公考编剩下的就是销售了吧。,2023-12-09 11:28,1
10,胡说八道，那是学的差文科，好的文科，掌管天下【：没觉得这有什么所谓的不好】 ,2023-12-09 12:57,1
15,12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！【：提倡新文科建设，让文科没那么“水”】近日，网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”， 12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！【：提倡新文科建设，让文科没那么“水”】近日，网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”，引发热议。中国人民大学公共管理学院教授马亮表示，文科没那么“水”，文理科融合教育也成主流。（来源：澎湃新闻 编辑：艺萌）,2023-12-09 12:40,1
21,对复合型人才来说，文理不应该泾渭分明，对专一型人才而言，甭管你学文学理，才识足够，都可以闯出一片天！至于服务不服务的，有啥好纠结？余承东不是在给华为服务？程序员不是在给公司服务？演员不是在给观众服务？靠技术服务和靠嘴皮子服务本质没区别。张雪峰说对了一半，理科也是 对复合型人才来说，文理不应该泾渭分明，对专一型人才而言，甭管你学文学理，才识足够，都可以闯出一片天！至于服务不服务的，有啥好纠结？余承东不是在给华为服务？程序员不是在给公司服务？演员不是在给观众服务？靠技术服务和靠嘴皮子服务本质没区别。张雪峰说对了一半，理科也是服务业,2023-12-09 12:20,1
22,这个热搜又是张雪峰的，媒体现在追着张雪峰报道了，那大部分媒体人都是学文科的，他们觉得记者算是服务业吗？某种意义上来说媒体人应该服务于读者，服务于真相。,2023-12-09 12:20,1
43,文科都是干服务业的？其实，不管文科行业还是理科行业，没有谁比谁更高一等，绝大多数基层打工人做都是在做“服务业”，都需要出卖自己的时间精力、知识技能、甚至尊严与健康等，去服务客户换取报酬，都需要服务客户、服务甲方、服务上司、服务公司，本质上都需要“舔”。确实因为现在的市场人才需求 文科都是干服务业的？其实，不管文科行业还是理科行业，没有谁比谁更高一等，绝大多数基层打工人做都是在做“服务业”，都需要出卖自己的时间精力、知识技能、甚至尊严与健康等，去服务客户换取报酬，都需要服务客户、服务甲方、服务上司、服务公司，本质上都需要“舔”。确实因为现在的市场人才需求，导致从就业难易程度、薪资待遇、社会竞争力来看，理工类专业普遍是比人文艺术类专业稍微好一点的，比如985文科毕业生就业薪资待遇可能不如一个普通一本的理工学生。但也并不是所有的理工专业都好找工作、都高薪、都有很好的前途，不少理工专业就业确实好就业，但又苦又累薪资又低前途很差；也不是所有的文科都难找工作、都工资低、都没前途，都要看具体的学校、所处的市场环境需求等，更不是所有人都适合去学理工科，学不懂、不喜欢某个专业，还硬是要去学，才让人痛苦难受。理工科对社会发展、经济发展很重要，人文社科对社会发展、经济发展也很重要，人类文明社会缺文缺理都不行，只有文理科都均衡发展才行，整个社会都去学理工或都去学人文，才是很不健康的现象。不能因为某个时期的就业情况，就贬低文科抬高理科、否定所有文科专业，那大可不必，不然就过于偏激和短视了。,2023-12-09 12:09,1
45,也没错，不管他的本意如何。而我认为我就是个臭要饭的，🥲。 ,2023-12-09 14:00,1
46,哪个行业不是服务行业，无非就是服务方式不同而已，没什么高低贵贱，当然了挣多少钱确实把人分成了三六九等,2023-12-09 13:59,1
47,破防的是不是还没工作,2023-12-09 13:59,1
48,话糙了点而已啦，有什么不对吗 ,2023-12-09 13:59,1
49,实话扎心但却是实话,2023-12-09 13:59,1
