,text,time,labels
7,【你学的文科还是理科？】近日，网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”，引发热议。,2023-12-09 11:44,1
12,【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我 【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！,2023-12-09 12:42,1
13,【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我 【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！,2023-12-09 12:42,1
14,【：服务业没什么不好，我也在舔】近日，网红考研名师张雪峰称，所有文科都叫服务业，总结起来就是“舔”，引发网友热议。12月9日，张雪峰发文回应：“我是不是又说错话，对不起，对不起，我给大家笑一个！你们觉得哪个笑好看，我以 【：服务业没什么不好，我也在舔】近日，网红考研名师张雪峰称，所有文科都叫服务业，总结起来就是“舔”，引发网友热议。12月9日，张雪峰发文回应：“我是不是又说错话，对不起，对不起，我给大家笑一个！你们觉得哪个笑好看，我以后就怎么笑。你看，我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！”。并在评论区表示“做服务业没有不好，可是有的人心里过不去这道坎，我能过去，我就做服务业，你过不去，你就不适合做服务业。我是提醒以为某些专业高大上的人，他的本质，尤其是从业初期阶段要了解后在选择。非要恶意解读的。看了我的言论伤心了的，我向您们道歉。”随后，张雪峰晒出一张穿着带有道歉字样衣服的照片称，“为了诚挚的表达歉意，今天穿这个衣服出门。”,2023-12-09 12:42,1
15,12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！【：提倡新文科建设，让文科没那么“水”】近日，网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”， 12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！【：提倡新文科建设，让文科没那么“水”】近日，网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”，引发热议。中国人民大学公共管理学院教授马亮表示，文科没那么“水”，文理科融合教育也成主流。（来源：澎湃新闻 编辑：艺萌）,2023-12-09 12:40,1
16,【小调查：？】：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一 【小调查：？】：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！,2023-12-09 12:27,1
17,【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我 【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！,2023-12-09 12:26,1
18,【小调查：？】：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一 【小调查：？】：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！,2023-12-09 12:26,1
19,【小调查：？】：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一 【小调查：？】：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！,2023-12-09 12:25,1
20,【小调查：？】：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一 【小调查：？】：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！,2023-12-09 12:24,1
23,【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我 【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！,2023-12-09 12:16,1
24,【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我 【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！,2023-12-09 12:16,1
25,【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我 【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！,2023-12-09 12:16,1
26,【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我 【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！,2023-12-09 12:16,1
27,【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我 【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！,2023-12-09 12:16,1
28,【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我 【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！,2023-12-09 12:16,1
29,【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我 【：没觉得这有什么所谓的不好】近日，话题引发网友热议。网红考研名师张雪峰称：所有文科都叫服务业，总结起来就是“舔”。12月9日，发文回应称： 我是不是又说错话了，对不起，对不起，我给大家笑一个！我在干嘛，我也在舔。可是我没觉得这有什么所谓的不好啊！！！,2023-12-09 12:16,1
